player_id,number,name,position,height,weight,class,hometown,player_image
4593683,2,Chico Carter Jr.,G,"6' 3""",192 lbs,SR,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593683.png
4702387,3,Jalen Terry,G,"6' 0""",158 lbs,SR,"Flint, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702387.png
5105582,4,K.T. Raimey,G,"6' 3""",166 lbs,SR,"Kansas City, KS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105582.png
5175360,5,Churchill Abass,C,"6' 9""",240 lbs,FR,"Edo State, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175360.png
5105821,10,Jaden Henley,G,"6' 7""",200 lbs,SO,"Ontario, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105821.png
4897487,11,Keyondre Young,G,"6' 8""",180 lbs,JR,"Del City, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897487.png
4711692,12,Mac Etienne,F,"6' 10""",235 lbs,SO,"New York, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4711692.png
5105583,21,Da'Sean Nelson,F,"6' 8""",205 lbs,SR,"Toledo, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105583.png
5106288,22,Elijah Fisher,G,"6' 6""",190 lbs,SO,"Toronto, Canada",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106288.png
4567587,23,Caleb Murphy,G,"6' 4""",185 lbs,SR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4567587.png
4703399,25,Jeremiah Oden,F,"6' 8""",201 lbs,SR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703399.png
5175361,35,Dramane Camara,G,"6' 5""",205 lbs,FR,"Paris, France",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175361.png
5105584,55,Mo Sall,G,"6' 5""",180 lbs,SO,"Downers Grove, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105584.png
