game_id,away,home,away_rank,home_rank,away_score,home_score
401166072,Oakland,Maryland,NA,7,50,80
401168191,Columbia,Virginia,NA,9,42,60
401169779,Ohio,Villanova,NA,10,54,78
401170002,Alcorn State,Memphis,NA,13,56,102
401169833,Washington,Tennessee,20,NA,62,75
401169834,Nicholls,LSU,NA,23,65,75
401170576,San Diego,Colorado,NA,25,53,71
401168615,St. Francis (BKN),NC State,NA,NA,64,95
401172742,Alabama A&M,Miami (OH),NA,NA,63,79
401170128,Central Connecticut,UMass,NA,NA,43,89
401180734,Georgian Court GA,UMBC,NA,NA,48,60
401172416,Old Dominion,Northeastern,NA,NA,76,69
401171016,Campbell,The Citadel,NA,NA,87,73
401168343,Cornell,DePaul,NA,NA,54,75
401166431,Northern Colorado,Northern Iowa,NA,NA,72,77
401170127,Morgan State,George Washington,NA,NA,68,64
401168192,Lehigh,Virginia Tech,NA,NA,53,79
401170364,Dartmouth,Jacksonville,NA,NA,37,57
401170860,Gordon College,Hartford,NA,NA,79,86
401168188,Belmont,Boston College,NA,NA,100,85
401168189,Quinnipiac,Miami,NA,NA,52,80
401166071,Chicago State,Purdue,NA,NA,49,93
401170129,Saint Joseph's,Loyola Chicago,NA,NA,68,85
401170027,Temple,La Salle,NA,NA,70,65
401170032,Northwestern State,Tulane,NA,NA,52,79
401172577,Sam Houston State,Central Michigan,NA,NA,77,84
401175039,SIU-Edwardsville,Incarnate Word,NA,NA,57,55
401172578,Robert Morris,Toledo,NA,NA,56,70
401170363,Wagner,NJIT,NA,NA,69,88
401168425,Saint Peter's,Providence,NA,NA,47,68
401170752,Harvard,Buffalo,NA,NA,76,88
401176776,Western Colorado,Denver,NA,NA,55,72
401170041,Austin Peay,Tulsa,NA,NA,65,72
401170057,UT Martin,Wichita State,NA,NA,62,103
401175040,Appalachian State,Tennessee Tech,NA,NA,69,47
401170835,Sacred Heart,Binghamton,NA,NA,72,76
401175898,Palm Beach Atlantic,Florida Atlantic,NA,NA,79,84
401172579,Rockford University,Northern Illinois,NA,NA,48,96
401172740,Eastern Michigan,North Texas,NA,NA,56,51
401171550,Mid-Atlantic Christian University,Winthrop,NA,NA,59,103
401168458,Vermont,St. John's,NA,NA,70,68
401170930,Merrimack,UMass Lowell,NA,NA,60,58
401170950,New Hampshire,Boston University,NA,NA,70,84
401169988,Liberty,East Carolina,NA,NA,77,57
401171801,Delaware,Lafayette,NA,NA,81,73
401171672,Rice,UC Santa Barbara,NA,NA,82,81
401166430,Montana,Arkansas,NA,NA,46,64
401171522,Maryland-Eastern Shore,Morehead State,NA,NA,53,76
401173020,McNeese,New Mexico,NA,NA,80,90
401174713,Montana State,UNC Greensboro,NA,NA,67,66
401171506,Brevard College,UNC Asheville,NA,NA,49,79
401168315,Louisiana Tech,Creighton,NA,NA,72,82
401171775,Drexel,Stephen F. Austin,NA,NA,67,82
401172576,Kent State,Wright State,NA,NA,72,71
401170125,Marist,Fordham,NA,NA,41,58
401168190,Seattle,Syracuse,NA,NA,67,89
401171915,Albany,Manhattan,NA,NA,51,57
401171928,Bucknell,Canisius,NA,NA,81,83
401172214,American,St. Francis (PA),NA,NA,76,79
401170123,UNC Wilmington,Davidson,NA,NA,49,87
401170124,Charleston Southern,Dayton,NA,NA,61,90
401170126,James Madison,George Mason,NA,NA,70,83
401170361,Stetson,Purdue Fort Wayne,NA,NA,55,79
401170008,Jackson State,SMU,NA,NA,63,80
401176397,North Dakota State,Texas A&M-CC,NA,NA,57,45
401170362,Samford,North Alabama,NA,NA,55,61
401170122,St. Bonaventure,Rutgers,NA,NA,80,74
401173490,UIC,Bradley,NA,NA,56,65
401175851,Arkansas-Pine Bluff,Grand Canyon,NA,NA,54,67
401168289,Wofford,Butler,NA,NA,61,80
401166073,Troy,Indiana,NA,NA,62,100
401173632,San Francisco,Southern Illinois,NA,NA,76,60
401175041,Brescia,Murray State,NA,NA,48,114
401172934,Pepperdine,Abilene Christian,NA,NA,73,69
401170579,Oregon State,Wyoming,NA,NA,83,63
401173659,Colorado State,Loyola Marymount,NA,NA,74,64
401170578,Santa Clara,Stanford,NA,NA,64,82
401170889,Maine,Portland,NA,NA,62,71
401170577,USC,Nevada,NA,NA,76,66
401181734,Stanislaus State,CSU Fullerton,NA,NA,62,82
401170970,UT Rio Grande Valley,Stony Brook,NA,NA,58,69
