game_id,date,home,away,play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home_time_out_remaining,away_time_out_remaining,home_favored_by,shot_x,shot_y,shot_team,shot_outcome,shooter,assist,three_pt,free_throw,possession_before,possession_after
401025863,2018-03-17,Texas Tech,Florida,1,1,20:00:00,2400,2400,PLAY,0,0,0,0,0.6142588729993071,0.5,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida
401025863,2018-03-17,Texas Tech,Florida,2,1,20:00:00,2400,2400,Jump Ball won by Florida,0,0,0,0,0.6142588729993071,0.5,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,Florida,Florida
401025863,2018-03-17,Texas Tech,Florida,3,1,19:47:00,2387,2387,Jalen Hudson missed Jumper.,0,0,0,13,0.6141155977501909,0.5,4,4,2.9,40,16.711111111111112,Florida,missed,Jalen Hudson,NA,FALSE,FALSE,Florida,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,4,1,19:47:00,2387,2387,Justin Gray Defensive Rebound.,0,0,0,0,0.6141155977501909,0.5,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,Florida,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,5,1,19:17:00,2357,2357,Norense Odiase missed Jumper.,0,0,0,30,0.6137762754702799,0.5,4,4,2.9,37,87.94222222222221,Texas Tech,missed,Norense Odiase,NA,FALSE,FALSE,Texas Tech,Florida
401025863,2018-03-17,Texas Tech,Florida,6,1,19:17:00,2357,2357,KeVaughn Allen Defensive Rebound.,0,0,0,0,0.6137762754702799,0.5,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,Texas Tech,Florida
401025863,2018-03-17,Texas Tech,Florida,7,1,19:01:00,2341,2341,KeVaughn Allen Turnover.,0,0,0,16,0.6135902092499395,0.5,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,Florida,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,8,1,18:53:00,2333,2333,Jarrett Culver made Layup. Assisted by Zhaire Smith.,2,0,2,8,0.6557419204915543,0.5454603446991073,4,4,2.9,27,87.94222222222221,Texas Tech,made,Jarrett Culver,Zhaire Smith,FALSE,FALSE,Texas Tech,Florida
401025863,2018-03-17,Texas Tech,Florida,9,1,18:46:00,2326,2326,Chris Chiozza made Jumper.,2,2,0,7,0.6134124633554179,0.5,4,4,2.9,32,10.444444444444445,Florida,made,Chris Chiozza,NA,FALSE,FALSE,Florida,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,10,1,18:25:00,2305,2305,Keenan Evans made Three Point Jumper.,5,2,3,21,0.6765260434804049,0.5688708039301624,4,4,2.9,3,81.67555555555555,Texas Tech,made,Keenan Evans,NA,TRUE,FALSE,Texas Tech,Florida
401025863,2018-03-17,Texas Tech,Florida,11,1,18:04:00,2284,2284,Kevarrius Hayes made Layup. Assisted by Chris Chiozza.,5,4,1,21,0.6348001031361059,0.523322669352421,4,4,2.9,23,5.222222222222221,Florida,made,Kevarrius Hayes,Chris Chiozza,FALSE,FALSE,Florida,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,12,1,17:33:00,2253,2253,Keenan Evans missed Jumper.,5,4,1,31,0.634738021790086,0.5236738188039088,4,4,2.9,36,73.32,Texas Tech,missed,Keenan Evans,NA,FALSE,FALSE,Texas Tech,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,13,1,17:33:00,2253,2253,Chris Chiozza Block.,5,4,1,0,0.634738021790086,0.5236738188039088,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,Texas Tech,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,14,1,17:33:00,2253,2253,Texas Tech Offensive Rebound.,5,4,1,0,0.634738021790086,0.5236738188039088,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,Texas Tech,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,15,1,17:26:00,2246,2246,Jarrett Culver missed Layup.,5,4,1,7,0.6347224956952169,0.5237536683071837,4,4,2.9,23,85.85333333333332,Texas Tech,missed,Jarrett Culver,NA,FALSE,FALSE,Texas Tech,Texas Tech
401025863,2018-03-17,Texas Tech,Florida,16,1,17:26:00,2246,2246,Zhaire Smith Offensive Rebound.,5,4,1,0,0.6347224956952169,0.5237536683071837,4,4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,Texas Tech,Texas Tech
