number,name,position,height,weight,class,hometown
0,Alan Griffin,G,"6' 5""",195 lbs,SO,"Ossining, NY"
1,Trent Frazier,G,"6' 2""",175 lbs,JR,"Wellington, FL"
2,Kipper Nichols,F,"6' 6""",220 lbs,SR,"Cleveland, OH"
3,Jacob Grandison,G,"6' 6""",200 lbs,JR,"Oakland, CA"
4,Zach Griffith,F,"6' 6""",210 lbs,JR,"Fisher, IL"
5,Tevian Jones,G,"6' 7""",205 lbs,SO,"Chandler, AZ"
10,Andres Feliz,G,"6' 2""",195 lbs,SR,"Guachupita, Dominican Republic"
11,Ayo Dosunmu,G,"6' 5""",185 lbs,SO,"Chicago, IL"
13,Benjamin Bosmans-Verdonk,F,"6' 8""",235 lbs,FR,"Lommel, Belgium"
15,Giorgi Bezhanishvili,F,"6' 9""",235 lbs,SO,"Rustavi Georgin, Georgia"
20,Da'Monte Williams,G,"6' 3""",210 lbs,JR,"Peoria, IL"
21,Kofi Cockburn,C,"7' 0""",290 lbs,FR,"Kingston, Jamaica"
22,Austin Hutcherson,G,"6' 6""",175 lbs,JR,"New York, NY"
32,Tyler Underwood,G,"6' 2""",180 lbs,SR,"Champaign, IL"
34,Jermaine Hamlin,C,"6' 10""",235 lbs,FR,"Lincoln, IL"
35,Samson Oladimeji,F,"6' 4""",210 lbs,SR,"Rolling Meadows, IL"
