number,name,position,height,weight,class,hometown
0,Khalil Robinson,G,"5' 11""",160 lbs,FR,"Columbia, SC"
1,Andre Toure,F,"6' 8""",195 lbs,SO,"Paris, France"
3,Nate Garvey,G,"6' 3""",180 lbs,SR,"Nanuet, NY"
4,Raymond Bethea Jr.,G,"6' 6""",195 lbs,SO,"Atlantic City, NJ"
10,Zion Cousins,F,"6' 8""",195 lbs,JR,"Upper Marlboro, MD"
11,Kyle Foster,G,"6' 5""",172 lbs,JR,"Hampton, VA"
12,Garon Jones,G,--,--,SO,--
13,Charles Williams,G,"6' 6""",180 lbs,SR,"Richmond, VA"
14,William Settle,F,"6' 10""",175 lbs,FR,"Baltimore, MD"
15,Phillip Jones,G,"6' 0""",185 lbs,SR,"Atlanta, GA"
20,Michael Barber,F,"6' 9""",225 lbs,SO,"Jackson, MS"
22,Cam Timmons,C,"6' 11""",295 lbs,FR,"Warrenton, VA"
31,Wayne Bristol Jr.,G,"6' 6""",175 lbs,FR,"Upper Marlboro, MD"
32,Liwayne Richardson,C,"6' 10""",250 lbs,FR,"Boca Raton, FL"
33,Ian Lee,G,"6' 1""",175 lbs,FR,"Toronto, ON"
35,Princewill Anosikle,C,"6' 9""",230 lbs,SO,"Lagos, Nigeria"
