number,name,position,height,weight,class,hometown
0,Payton Willis,G,"6' 4""",200 lbs,JR,"Fayetteville, AR"
1,Tre' Williams,G,"6' 5""",195 lbs,FR,"Dallas, TX"
3,Bryan Greenlee,G,"6' 0""",190 lbs,FR,"Gainesville, FL"
5,Marcus Carr,G,"6' 2""",195 lbs,SO,"Toronto, ON"
10,Brady Rudrud,G,"6' 2""",190 lbs,SR,"Eden Prairie, MN"
13,Hunt Conroy,G,"5' 10""",165 lbs,JR,"New Orleans, LA"
21,Jarvis Omersa,F,"6' 6""",235 lbs,SO,"Orono, MN"
22,Gabe Kalscheur,G,"6' 4""",200 lbs,SO,"Edina, MN"
24,Eric Curry,F,"6' 9""",240 lbs,JR,"Memphis, TN"
25,Daniel Oturu,C,"6' 10""",240 lbs,SO,"Woodbury, MN"
30,Alihan Demir,F,"6' 9""",235 lbs,SR,"Ankara, Turkey"
32,Sammy Freeman,C,"6' 10""",240 lbs,FR,"Dallas, TX"
35,Isaiah Ihnen,F,"6' 9""",210 lbs,FR,"Boeblingen, Germany"
42,Michael Hurt,F,"6' 7""",220 lbs,SR,"Rochester, MN"
