number,name,position,height,weight,class,hometown
0,Devon Dunn,G,"6' 1""",175 lbs,FR,"Washington, DC"
1,Bassel Saliba Jr.,G,"6' 4""",190 lbs,SO,"Hackensack, NJ"
2,Brandon Rush,G,"6' 3""",175 lbs,FR,"Warrensville Heights, OH"
3,Jahlil Jenkins,G,"6' 0""",160 lbs,JR,"Ranson, WV"
4,Brandon Powell,G,"6' 2""",185 lbs,SO,"Middletown, NY"
5,Xzavier Malone-Key,G,"6' 4""",186 lbs,JR,"Philadelphia, PA"
11,Callum Baker,G,"6' 0""",160 lbs,FR,"Oakville, ON"
12,Kaleb Bishop,F,"6' 8""",210 lbs,SR,"Paterson, NJ"
15,Oscar Okeke,C,"6' 11""",225 lbs,JR,"Abuja, Nigeria"
21,Elyjah Williams,F,"6' 7""",220 lbs,JR,"Evanston, IL"
24,Marc Dadika,F,"6' 8""",210 lbs,FR,"Saddle Brook, NJ"
25,Daniel Rodriguez,F,"6' 6""",250 lbs,FR,"Newark, NJ"
44,Collin McManus,C,"6' 10""",240 lbs,SR,"Bedford, NH"
