number,name,position,height,weight,class,hometown,player_image
0,Mekhi Long,G,"6' 7""",200 lbs,SO,"Bryans Road, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431804.png
1,Jason Wade,G,"6' 5""",210 lbs,JR,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397567.png
2,Brady O'Connell,G,"6' 7""",200 lbs,FR,"Milton, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897540.png
3,Imo Essien,G,"5' 11""",170 lbs,FR,"Wylie, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897541.png
4,Jadin Johnson,G,"6' 0""",175 lbs,FR,"Omaha, NE",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683863.png
10,D'Angelo Stines,G,"6' 1""",180 lbs,FR,"Columbia, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897542.png
11,A.J. Oliver II,G,"6' 5""",200 lbs,SR,"Birmingham, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592878.png
12,Jaylin Hunter,G,"6' 0""",195 lbs,SO,"Manchester, CT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592875.png
13,P.J. Gill,G,"5' 11""",165 lbs,JR,"Virginia Beach, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4405303.png
15,Charles Smith IV,G,"6' 5""",200 lbs,SO,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431798.png
20,Stephan Morris,F,"6' 7""",220 lbs,SO,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897543.png
22,Kalu Ezikpe,F,"6' 8""",240 lbs,JR,"Lawrenceville, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397564.png
23,Austin Trice,F,"6' 7""",225 lbs,SR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397007.png
25,C.J. Keyser,G,"6' 3""",190 lbs,SR,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066455.png
