number,name,position,height,weight,class,hometown,player_image
0,Marcus Sasser,G,"6' 2""",195 lbs,JR,"Dallas, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432107.png
1,Jamal Shead,G,"6' 1""",190 lbs,SO,"Manor, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432241.png
2,Robbie Armbrester,G,"6' 4""",220 lbs,FR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684151.png
3,Ramon Walker Jr.,G,"6' 4""",210 lbs,FR,"Pearland, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708176.png
4,Taze Moore,G,"6' 5""",195 lbs,SR,"Southaven, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066808.png
5,Ja'Vier Francis,F,"6' 8""",225 lbs,FR,"New Orleans, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684301.png
11,Kyler Edwards,G,"6' 4""",195 lbs,SR,"Arlington, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397081.png
12,Tramon Mark,G,"6' 5""",195 lbs,SO,"Dickinson, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432243.png
13,J'Wan Roberts,F,"6' 7""",230 lbs,SO,"St. Thomas, Virgin Islands",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433068.png
20,Ryan Elvin,G,"6' 0""",165 lbs,SO,"Round Rock, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701204.png
25,Josh Carlton,C,"6' 11""",245 lbs,SR,"Winterville, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278229.png
32,Reggie Chaney,F,"6' 8""",230 lbs,SR,"Tulsa, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395708.png
35,Fabian White Jr.,F,"6' 8""",230 lbs,SR,"Atascocita, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278263.png
52,Kiyron Powell,C,"6' 8""",210 lbs,SO,"Evansville, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433232.png
