number,name,position,height,weight,class,hometown,player_image
0,Javon Grant,G,"5' 11""",155 lbs,FR,"Pittsburg, KS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896935.png
1,Savion Flagg,G,"6' 7""",225 lbs,SR,"Alvin, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278119.png
2,Jarren Cook,G,"6' 4""",205 lbs,FR,"Carrollton, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703679.png
3,Demarkus Lampley,G,"6' 2""",175 lbs,SR,"Phenix City, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594132.png
10,Damon Nicholas Jr.,G,"6' 4""",195 lbs,FR,"Duncanville, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896936.png
11,Javion May,G,"6' 2""",190 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703680.png
12,Tristan Ikpe,F,"6' 6""",210 lbs,JR,"Deer Park, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703681.png
13,Jaden Ray,G,"5' 10""",165 lbs,JR,"Midwest City, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896937.png
22,Kevin Martina,F,"6' 7""",215 lbs,FR,"Geneva, Switzerland",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896938.png
24,Donte Powers,G,"6' 2""",170 lbs,JR,"Starkville, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703683.png
33,Giovanni Emejuru,F,"6' 10""",270 lbs,FR,"Loughborough, England",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896939.png
40,Kian Scroggins,F,"6' 7""",235 lbs,FR,"Raymore, MO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703685.png
54,Kuba Karwowski,C,"7' 2""",235 lbs,SR,"Warsaw, Poland",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593103.png
