number,name,position,height,weight,class,hometown,player_image
0,Brandon Murray,G,"6' 5""",214 lbs,FR,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684166.png
1,Xavier Pinson,G,"6' 2""",154 lbs,SR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396953.png
2,Eric Gaines,G,"6' 2""",150 lbs,SO,"Lithonia, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4682883.png
3,Alex Fudge,F,"6' 8""",185 lbs,FR,"Jacksonville, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896481.png
4,Darius Days,F,"6' 7""",245 lbs,SR,"Raleigh, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396978.png
5,Mwani Wilkinson,F,"6' 5""",206 lbs,SO,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4567590.png
10,Brandon Egemo,G,"6' 0""",166 lbs,SO,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702409.png
11,Justice Williams,G,"6' 3""",170 lbs,FR,"Philadelphia, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683676.png
13,Tari Eason,F,"6' 8""",216 lbs,SO,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433192.png
15,Efton Reid,C,"6' 11""",238 lbs,FR,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433594.png
20,Jerrell Colbert,C,"6' 10""",216 lbs,FR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433273.png
21,Bradley Ezewiro,F,"6' 8""",246 lbs,FR,"Torrance, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4596348.png
22,Spencer Mays,G,"6' 3""",196 lbs,JR,"Baton Rouge, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896482.png
24,Shareef O'Neal,F,"6' 10""",220 lbs,JR,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397130.png
25,Adam Benhayoune,F,"6' 5""",230 lbs,FR,"Helotes, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4902710.png
30,Parker Edwards,G,"6' 2""",214 lbs,JR,"Covington, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398288.png
44,Adam Miller,G,"6' 2""",185 lbs,SO,"Peoria, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432175.png
