number,name,position,height,weight,class,hometown,player_image
0,Bennedict Mathurin,G,"6' 6""",210 lbs,SO,"Montreal, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683634.png
1,Shane Nowell,G,"6' 6""",210 lbs,FR,"Seattle, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433263.png
2,Adama Bal,G,"6' 6""",190 lbs,FR,"Le Mans, France",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896365.png
3,Pelle Larsson,G,"6' 5""",215 lbs,SO,"Nacka, Sweden",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4601025.png
4,Dalen Terry,G,"6' 7""",195 lbs,SO,"Phoenix, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433159.png
5,Justin Kier,G,"6' 4""",195 lbs,SR,"Grottoes, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066863.png
10,Azuolas Tubelis,F,"6' 11""",245 lbs,SO,"Vilnius, Lithuania",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702372.png
11,Oumar Ballo,C,"7' 0""",260 lbs,JR,"Koulikoro, Mali",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594109.png
20,Tautvilas Tubelis,F,"6' 7""",220 lbs,SO,"Vilnius, Lithuania",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683637.png
22,Addison Arnold,G,"6' 3""",185 lbs,FR,"Simi Valley, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896359.png
24,Kim Aiken Jr.,F,"6' 7""",215 lbs,SR,"Redlands, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278602.png
25,Kerr Kriisa,G,"6' 3""",180 lbs,SO,"Tartu, Estonia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683633.png
35,Christian Koloko,C,"7' 1""",230 lbs,JR,"Douala, Cameroon",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431778.png
44,Ben Ackerley,G,"6' 1""",170 lbs,FR,"Seattle, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896360.png
50,Jordan Mains,F,"6' 6""",200 lbs,JR,"Scottsdale, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4609978.png
51,Will Menaugh,F,"6' 10""",245 lbs,FR,"Tucson, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896361.png
53,Grant Weitman,G,"6' 4""",205 lbs,SO,"Tucson, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702373.png
55,Will Reeves,G,"6' 3""",195 lbs,FR,"Spokane, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896362.png
