number,name,position,height,weight,class,hometown,player_image
0,Geo Baker,G,"6' 4""",185 lbs,SR,"Derry, NH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4277986.png
1,Oskar Palmquist,F,"6' 8""",220 lbs,SO,"Boras, Sweden",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4600664.png
2,Jalen Miller,G,"6' 2""",200 lbs,FR,"Frederick, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708076.png
3,Mawot Mag,F,"6' 7""",216 lbs,SO,"Melbourne, VIC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4602948.png
4,Paul Mulcahy,G,"6' 6""",213 lbs,JR,"Bayonne, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432849.png
5,Aundre Hyatt,F,"6' 6""",227 lbs,SO,"Bronx, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396975.png
10,Andrew Fulin,F,"6' 6""",195 lbs,JR,"Demarest, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898809.png
11,Clifford Omoruyi,C,"6' 11""",240 lbs,SO,"Benin City, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433155.png
21,Dean Reiber,F,"6' 10""",225 lbs,SO,"Greensboro, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4581507.png
22,Caleb McConnell,G,"6' 7""",200 lbs,SR,"Jacksonville, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397249.png
24,Ron Harper Jr.,F,"6' 6""",245 lbs,SR,"Franklin Lakes, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397251.png
25,Aiden Terry,G,"5' 10""",160 lbs,SO,"Mount Washington, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702337.png
30,Logan Stephens,G,"6' 2""",197 lbs,FR,"Decatur, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897439.png
35,Ralph Gonzales-Agee,F,"6' 8""",245 lbs,SR,"Victorville, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4074930.png
45,Jaden Jones,F,"6' 8""",220 lbs,FR,"Dallas, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4712921.png
55,Luke Nathan,F,"6' 11""",240 lbs,SR,"Randolph, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4277990.png
