number,name,position,height,weight,class,hometown,player_image
0,Kshun Stokes,G,"6' 2""",190 lbs,JR,"Headland, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594054.png
1,Kylen Milton,G,"6' 4""",192 lbs,SO,"Conway, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703071.png
2,Travonta Doolittle,G,"6' 4""",179 lbs,SR,"Hughes, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703148.png
3,Jaylan Thomas,G,"6' 8""",183 lbs,SR,"Tulsa, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897861.png
4,Gabriel Vargas,G,"6' 5""",180 lbs,FR,"Miami, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897862.png
5,Dequan Morris,G,"6' 4""",182 lbs,SR,"Pine Bluff, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594059.png
10,Isaiah Haralson,G,"6' 2""",178 lbs,JR,"Pearland, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594060.png
11,Brandon Brown,G,"6' 5""",210 lbs,JR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897863.png
14,Brahm Harris,G,"6' 6""",215 lbs,JR,"Maumelle, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897864.png
15,AJ Stredic,F,"6' 8""",215 lbs,JR,"Bay City, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594058.png
22,Omar Parchman,F,"6' 8""",210 lbs,SR,"Wynne, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703152.png
23,Trey Sampson,F,"6' 9""",210 lbs,JR,"Davenport, IA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897865.png
30,Dreshaun Doyne,F,"6' 8""",192 lbs,FR,"Little Rock, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897866.png
34,Amadou Fall,F,"6' 10""",225 lbs,JR,"Kaolack, Senegal",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397492.png
55,Shawn Williams,G,"6' 1""",180 lbs,SR,"Little Rock, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897867.png
