number,name,position,height,weight,class,hometown,player_image
1,Marcus Fitzgerald Jr.,G,"6' 2""",175 lbs,SO,"Nashville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703415.png
2,Carlos Marshall Jr.,G,"6' 6""",210 lbs,SR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593725.png
3,Tajik Bartholomew,G,"6' 3""",--,SO,"Austin, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897308.png
4,Christian Brown,F,"6' 6""",215 lbs,JR,"Hopkins, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431709.png
5,Ethan Riggs Abner,G,"6' 6""",--,FR,"Mount Juliet, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897309.png
10,Monty Johal,G,"6' 3""",185 lbs,SO,"Springfield, MO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398373.png
11,Kassim Nicholson,F,"6' 7""",200 lbs,SR,"Jackson, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593280.png
12,Evan Joyner,F,"6' 8""",180 lbs,SO,"Greensboro, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703417.png
14,Shakem Johnson,F,"6' 7""",210 lbs,SR,"Youngstown, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593726.png
15,Hercy Miller,G,"6' 3""",--,FR,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4709140.png
20,Dedric Boyd,G,"6' 4""",195 lbs,SR,"Brownsville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279854.png
21,Kenny Cooper,G,"6' 1""",190 lbs,SR,"Nashville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067179.png
23,Emmanuel Dowuona,F,"6' 10""",245 lbs,JR,"Miami, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397244.png
24,Jalen Dupree,F,"6' 8""",235 lbs,SR,"Cordova, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067190.png
44,David Acosta,F,"6' 11""",--,JR,"Santiago, Dominican Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897310.png
55,Drew Williams,F,"6' 7""",--,FR,"Chattanooga, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897311.png
NA,Ethan Riggs Abner,ATH,--,--,--,--,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4903903.png
