number,name,position,height,weight,class,hometown,player_image
0,Andrew Taylor,G,"6' 3""",185 lbs,JR,"Corbin, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592859.png
1,Chase McKey,F,"6' 9""",210 lbs,FR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897502.png
2,Darius George,F,"6' 7""",205 lbs,SR,"Staunton, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279078.png
3,Kyle Braun,G,"6' 3""",180 lbs,FR,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897503.png
4,CJ Meredith,F,"6' 6""",210 lbs,SO,"Huntington, WV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702694.png
5,Jeremy Dillon,G,"6' 5""",190 lbs,JR,"Mingo, WV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397540.png
11,Wyatt Fricks,F,"6' 9""",195 lbs,FR,"Winder, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897504.png
12,Aymeric Toussaint,F,"6' 9""",225 lbs,FR,"Saint-Denis, Reunion",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897505.png
13,Creighton Thieneman,G,"6' 5""",200 lbs,FR,"Louisville, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897506.png
15,Marko Sarenac,F,"6' 7""",210 lbs,JR,"Ljubovija, Serbia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592862.png
21,Goran Miladinovic,C,"7' 0""",250 lbs,JR,"Tivat, Montenegro",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592865.png
23,David Early,G,"6' 4""",235 lbs,SO,"Logan, WV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702695.png
24,Taevion Kinsey,G,"6' 5""",190 lbs,SR,"Columbus, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397537.png
25,Obinna Anochili-Killen,F,"6' 8""",220 lbs,SO,"Lagos, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432441.png
31,Mikel Beyers,F,"6' 10""",225 lbs,SR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397545.png
35,Devin Collins,G,"6' 8""",200 lbs,SO,"Chapmanville, WV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592864.png
