number,name,position,height,weight,class,hometown,player_image
0,Emmanuel Adedoyin,G,"6' 2""",161 lbs,SO,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594333.png
1,Jacob Crews,G,"6' 7""",200 lbs,FR,"Hilliard, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432515.png
2,Chaz Lanier,G,"6' 4""",175 lbs,FR,"Nashville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700852.png
3,Carter Hendricksen,F,"6' 7""",217 lbs,JR,"Lexington, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396776.png
4,Jordan Preaster,G,"6' 6""",200 lbs,SO,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592995.png
5,Dorian James,G,"6' 7""",202 lbs,SO,"Winter Haven, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396774.png
10,Jarius Hicklen,G,"6' 3""",175 lbs,SO,"Dallas, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897614.png
11,Brandon Rasmussen,G,"6' 4""",183 lbs,FR,"Christiansted, Virgin Islands",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897615.png
13,Max Hrdlicka,G,"6' 6""",200 lbs,FR,"Brunswick, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897616.png
15,Jose Placer,G,"6' 1""",174 lbs,SO,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396592.png
21,Jonathan Aybar,F,"6' 9""",183 lbs,FR,"Kissimmee, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700854.png
23,Josh Berenbaum,G,"6' 8""",215 lbs,FR,"Clearwater, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700855.png
24,Jadyn Parker,F,"6' 10""",180 lbs,FR,"Shallotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700856.png
