number,name,position,height,weight,class,hometown,player_image
0,Tyrell Jones,G,"6' 1""",186 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432853.png
1,Lance Thomas,F,"6' 9""",224 lbs,SR,"Norcross, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4277877.png
2,Greg Parham,G,"6' 3""",184 lbs,SR,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280099.png
3,Andrew Anderson,G,"6' 0""",160 lbs,SO,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702080.png
4,Kayo Goncalves,F,"6' 8""",212 lbs,SR,"Rio De Janeiro, Brazil",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4402692.png
10,Diante Smith,F,"6' 6""",189 lbs,JR,"Fort Walton Beach, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431819.png
12,Alex Anderson,F,"6' 6""",185 lbs,FR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897173.png
13,Javon Franklin,F,"6' 7""",220 lbs,SR,"Little Rock, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592747.png
14,Adam Sizemore,G,"5' 9""",166 lbs,JR,"London, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593914.png
20,Marshall Kearing,F,"6' 9""",225 lbs,JR,"Perth, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897174.png
21,Charles Manning Jr.,G,"6' 4""",193 lbs,SR,"Riverhead, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593021.png
22,Jay Jay Chandler,G,"6' 4""",180 lbs,SR,"Katy, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278117.png
24,Tyler Shirley,F,"6' 6""",212 lbs,FR,"Mableton, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897175.png
25,Jamal West,F,"6' 5""",224 lbs,SO,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702081.png
