number,name,position,height,weight,class,hometown,player_image
0,Justin Amadi,F,"6' 7""",220 lbs,FR,"Greenville, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702765.png
1,Devon Savage,G,"6' 4""",190 lbs,FR,"Washington, DC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897703.png
2,Jaylen Stinson,G,"6' 0""",170 lbs,FR,"Philadelphia, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897704.png
3,Andrew McConnell,G,"6' 0""",170 lbs,FR,"Buford, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897705.png
4,Vado Morse,G,"6' 0""",170 lbs,JR,"Suitland, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397972.png
5,Terrence Edwards,G,"6' 6""",190 lbs,FR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702766.png
10,Terell Strickland,G,"6' 0""",170 lbs,FR,"Tampa, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702767.png
11,Charles Falden,G,"6' 3""",210 lbs,SR,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279060.png
13,Jalen Hodge,G,"6' 1""",180 lbs,JR,"O'Fallon, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397575.png
14,Tyree Ihenacho,G,"6' 4""",195 lbs,FR,"Prior Lake, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702666.png
15,Takal Molson,G,"6' 4""",210 lbs,SR,"Buffalo, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279481.png
21,Hollman Smith,G,"6' 0""",180 lbs,FR,"Falls Church, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702769.png
22,Julien Wooden,F,"6' 8""",225 lbs,SO,"Roanoke, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433127.png
25,Alonzo Sule,F,"6' 7""",215 lbs,SR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280279.png
30,Shane Feden,F,"6' 6""",170 lbs,FR,"Woodbridge, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897706.png
