number,name,position,height,weight,class,hometown,player_image
0,Alexis Reyes,F,"6' 7""",195 lbs,FR,"Roxbury, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708217.png
1,Javon Small,G,"6' 2""",180 lbs,FR,"South Bend, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4781746.png
2,Tristen Newton,G,"6' 5""",190 lbs,SO,"El Paso, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592965.png
3,RJ Felton,G,"6' 3""",200 lbs,FR,"Aiken, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708215.png
4,Brandon Suggs,F,"6' 6""",185 lbs,SO,"Powder Springs, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592966.png
10,Wynston Tabbs,G,"6' 2""",195 lbs,JR,"Suitland, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395619.png
11,J.J. Miles,G,"6' 7""",215 lbs,SR,"Garysburg, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592967.png
12,Tremont Robinson-White,G,"6' 1""",170 lbs,JR,"Little Rock, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592968.png
13,Vance Jackson,F,"6' 9""",230 lbs,SR,"Pasadena, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066442.png
15,Tay Mosher,F,"6' 7""",215 lbs,FR,"The Colony, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708219.png
20,Alanzo Frink,F,"6' 8""",270 lbs,JR,"Jersey City, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396950.png
21,Ludgy Debaut,C,"7' 0""",245 lbs,JR,"Les Abymes, Guadeloupe",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592970.png
23,Brandon Johnson,F,"6' 8""",210 lbs,FR,"Raleigh, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897055.png
25,Marlon Lestin,F,"6' 9""",200 lbs,FR,"Montreal, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897056.png
42,Dave Kasanganay,G,"6' 2""",180 lbs,JR,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398148.png
44,Brenden Kelly,G,"5' 9""",165 lbs,FR,"Clark, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701193.png
