number,name,position,height,weight,class,hometown,player_image
0,Even Brauns,C,"6' 9""",240 lbs,SO,"Iowa City, IA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703219.png
1,Isaiah Walker,G,"6' 5""",185 lbs,FR,"Wyoming, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897261.png
2,Grayson Murphy,G,"6' 3""",190 lbs,SR,"Franklin, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279920.png
3,Luke Smith,G,"6' 0""",170 lbs,SR,"Knoxville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4402243.png
4,Will Richard,G,"6' 5""",195 lbs,FR,"Fairburn, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897262.png
5,EJ Bellinger,G,"6' 4""",205 lbs,JR,"St. Peters, MO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593461.png
10,Caleb Hollander,F,"6' 8""",245 lbs,SR,"Nashville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279921.png
11,Michael Shanks,F,"6' 6""",215 lbs,SO,"Bentonville, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433075.png
20,Tate Pierson,G,"6' 6""",210 lbs,SR,"Brentwood, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279922.png
21,Derek Sabin,F,"6' 9""",235 lbs,JR,"Slinger, WI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398301.png
22,Ben Sheppard,G,"6' 6""",185 lbs,JR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433076.png
24,JaCobi Wood,G,"6' 2""",180 lbs,SO,"Cleveland, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703220.png
25,Frank Jakubicek,F,"6' 8""",245 lbs,SO,"Cary, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703221.png
33,Nick Muszynski,C,"6' 11""",245 lbs,SR,"Pickerington, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279923.png
