number,name,position,height,weight,class,hometown,player_image
0,Nigel Hawkins,G,"6' 4""",191 lbs,SR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397862.png
1,Derrick Tezeno,G,"6' 5""",--,FR,"Melville, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896946.png
2,Jonathan Aku,F,"6' 10""",263 lbs,JR,"Kaduna, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592830.png
3,Sadaidriene Hall,F,"6' 5""",200 lbs,FR,"Sulphur Springs, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4713935.png
4,David Kachelries,G,"6' 1""",170 lbs,SR,"Emmaus, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278450.png
5,Jaylin Jackson-Posey,G,"6' 2""",196 lbs,FR,"Midland, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703691.png
10,Latrell Jossell,G,"5' 11""",155 lbs,SO,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4601284.png
11,Jules Moor,G,"6' 6""",--,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896947.png
13,Calvin Solomon,F,"6' 7""",194 lbs,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594155.png
14,Gavin Kensmil,F,"6' 7""",260 lbs,SR,"Paramaribo, Suriname",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279493.png
21,Russell Hyman,G,"6' 1""",168 lbs,SO,"Southlake, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703692.png
22,Nana Antwi-Boasiako,F,"6' 9""",220 lbs,SO,"Nacogdoches, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703693.png
23,Roti Ware,G,"6' 3""",187 lbs,SR,"Morton, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4594152.png
24,Jimel Cofer,G,"6' 3""",182 lbs,FR,"Lansing, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896948.png
25,Diego Willis,G,"6' 4""",180 lbs,SR,"Hermosillo, Mexico",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396753.png
