number,name,position,height,weight,class,hometown,player_image
0,Tyzhaun Claude,F,"6' 8""",240 lbs,SO,"Goldsboro, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593677.png
1,Tucson Redding,G,"6' 3""",--,JR,"Aurora, CO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897269.png
2,Jaylen Sebree,F,"6' 7""",200 lbs,JR,"Hopkinsville, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397481.png
3,Drew Thelwell,G,"6' 3""",185 lbs,FR,"Orlando, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703260.png
4,Johni Broome,F,"6' 10""",235 lbs,FR,"Plant City, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433569.png
5,Skyelar Potter,G,"6' 3""",198 lbs,JR,"Bowling Green, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397783.png
11,Jaylon Hall,F,"6' 5""",190 lbs,JR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279497.png
13,Julius Dixon,F,"6' 7""",202 lbs,SO,"Fayetteville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432967.png
14,Chris Cole,G,"6' 6""",--,FR,"Lawrenceville, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897270.png
15,Braden May,G,"5' 10""",--,FR,"Maysville, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897271.png
21,Tray Hollowell,G,"6' 3""",185 lbs,SR,"Hopkinsville, KY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280119.png
22,LJ Bryan,F,"6' 9""",235 lbs,JR,"Cheltenham, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593680.png
24,Jake Wolfe,G,"6' 5""",200 lbs,JR,"Aurora, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396750.png
55,Ta'lon Cooper,G,"6' 4""",190 lbs,SO,"Spartanburg, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432959.png
