number,name,position,height,weight,class,hometown,player_image
0,Jayden Reaves,G,"6' 0""",185 lbs,JR,"New York, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432093.png
1,Taurus Samuels,G,"6' 1""",190 lbs,SR,"Oceanside, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397960.png
2,Cade Haskins,F,"6' 6""",200 lbs,FR,"Minneapolis, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898189.png
3,Dusan Neskovic,F,"6' 7""",205 lbs,SO,"Banja Luka, Bosnia & Herzegovina",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702966.png
4,Izaiah Robinson,G,"6' 3""",200 lbs,SO,"Montclair, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702967.png
5,Jaren Johnson,G,"6' 5""",185 lbs,SO,"Lynwood, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702964.png
10,Ryan Cornish,G,"6' 3""",170 lbs,FR,"Potomac, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898190.png
11,Wes Slajchert,G,"6' 4""",190 lbs,SR,"Oak Park, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397961.png
12,Paul Hudson,F,"6' 6""",230 lbs,JR,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593312.png
14,Jackson Blaufeld,G,"6' 4""",195 lbs,JR,"Pittsburgh, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431898.png
15,Brendan Barry,G,"6' 2""",180 lbs,SR,"Fair Haven, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066823.png
20,Romeo Myrthil,G,"6' 2""",185 lbs,FR,"Solna, Sweden",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898191.png
21,Aaryn Rai,F,"6' 6""",220 lbs,SR,"Markham, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279554.png
22,Garrison Wade,F,"6' 6""",210 lbs,SR,"Madison, MS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397962.png
23,Robert McRae III,G,"6' 3""",200 lbs,SO,"Inglewood, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702965.png
24,Cam Krystkowiak,F,"6' 9""",210 lbs,JR,"Salt Lake City, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593313.png
25,Connor Christensen,F,"6' 6""",195 lbs,FR,"Eden Prairie, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898192.png
32,Dame Adelekun,F,"6' 8""",220 lbs,JR,"Gastonia, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702963.png
33,Nate Ogbu,F,"6' 7""",220 lbs,JR,"Stone Mountain, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593315.png
44,Nikola Dimitrijevic,F,"6' 10""",225 lbs,FR,"Belgrade, Serbia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898193.png
