number,name,position,height,weight,class,hometown,player_image
0,Josh Caldwell,G,"6' 2""",185 lbs,SR,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397607.png
1,Jalen Rucker,G,"5' 10""",180 lbs,SO,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705299.png
2,Brendan Thiele,G,"6' 5""",205 lbs,SR,"Kearny, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397613.png
4,Chris Mann,F,"6' 6""",205 lbs,JR,"Phillipsburg, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593075.png
5,Griff Lamb,F,"6' 8""",205 lbs,FR,"Holbrook, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897928.png
10,Isaiah Caldwell,G,"6' 4""",163 lbs,FR,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897929.png
12,Blane St. Clair,G,"6' 5""",202 lbs,FR,"Boone, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897930.png
15,Noah Jager,G,"5' 9""",165 lbs,SO,"Bloomington, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705301.png
21,Zach Lezanic,G,"6' 0""",165 lbs,SO,"Berwyn, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705302.png
22,Kwabena Davis,G,"6' 3""",182 lbs,SO,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705303.png
23,Aaron Duhart,F,"6' 0""",190 lbs,SR,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397609.png
24,Jared Cross,G,"6' 3""",196 lbs,SO,"Leesburg, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705304.png
25,Jordan Coleman,G,"6' 6""",190 lbs,SR,"Greenwood, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397610.png
30,Ben Kinker,F,"6' 9""",220 lbs,SR,"Greensburg, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397611.png
31,Blake Barker,G,"6' 2""",200 lbs,FR,"Columbus, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897931.png
32,John Scully,G,"6' 1""",185 lbs,SR,"Flower Mound, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397612.png
33,JT Dougherty,F,"6' 9""",205 lbs,FR,"River Falls, WI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897932.png
34,Charlie Peterson,F,"6' 9""",223 lbs,SO,"Indianapolis, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705305.png
35,TJ Small,G,"6' 2""",188 lbs,FR,"Kenner, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897933.png
41,Nolan Naess,F,"6' 8""",197 lbs,FR,"Laguna Beach, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897934.png
42,Luke Benson,G,"5' 11""",170 lbs,FR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897935.png
44,Matt Dove,F,"6' 10""",240 lbs,SO,"Princeton, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705307.png
52,Ben Jensen,F,"6' 10""",200 lbs,JR,"Fairfax, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593078.png
53,Zach Rocco,G,"6' 1""",180 lbs,SO,"Export, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705308.png
54,Abe Johnson,F,"6' 8""",225 lbs,SO,"Missoula, MT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705309.png
55,AJ Allenspach,F,"6' 8""",225 lbs,FR,"Simpsonville, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4699592.png
