number,name,position,height,weight,class,hometown,player_image
0,Bryce Monroe,G,"5' 11""",170 lbs,SO,"San Francisco, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703677.png
1,Jase Townsend,G,"6' 3""",175 lbs,SR,"Dallas, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398060.png
2,Joey Calcaterra,G,"6' 3""",180 lbs,SR,"Novato, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280214.png
3,Wayne McKinney III,G,"6' 0""",190 lbs,FR,"Coronado, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897202.png
4,Josh Parrish,F,"6' 4""",215 lbs,SR,"Arlington, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066322.png
5,Scotty Prunty,G,"5' 11""",165 lbs,SO,"San Diego, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701194.png
10,Marcellus Earlington,G,"6' 6""",240 lbs,SR,"Stony Point, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397124.png
11,Yavuz Gultekin,F,"6' 7""",200 lbs,JR,"Ismire, Turkey",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432878.png
13,Dominic Muncey,G,"6' 0""",175 lbs,FR,"San Diego, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897203.png
14,Alijah Kuehl,C,"6' 10""",235 lbs,FR,"Saint Augustine, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897204.png
15,Vladimir Pinchuk,C,"6' 11""",230 lbs,SR,"Schwelm, Germany",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278701.png
20,T.J. Berger,G,"6' 4""",170 lbs,SO,"Malvern, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433589.png
21,Terrell Brown,F,"6' 10""",235 lbs,SR,"Providence, RI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278018.png
25,Patrick Caero,G,"6' 4""",195 lbs,FR,"Fort Worth, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897205.png
33,Muon Reath,G,"6' 8""",185 lbs,FR,"Ottawa, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897206.png
