number,name,position,height,weight,class,hometown,player_image
0,James Reese V,G,"6' 4""",170 lbs,SR,"Eastover, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279322.png
1,Jacobi Wright,G,"6' 2""",180 lbs,FR,"Fort Mill, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683836.png
2,Chico Carter Jr.,G,"6' 3""",189 lbs,JR,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593683.png
4,Tre-Vaughn Minott,C,"6' 9""",270 lbs,SO,"Montreal, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4712656.png
5,Jermaine Couisnard,G,"6' 4""",211 lbs,JR,"East Chicago, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396948.png
10,Erik Stevenson,G,"6' 4""",209 lbs,SR,"Lacey, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396679.png
12,AJ Wilson,F,"6' 7""",234 lbs,SR,"Laurel, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278358.png
13,Mike Green,G,"6' 2""",190 lbs,JR,"Myrtle Beach, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593009.png
14,Brandon Martin,F,"6' 5""",232 lbs,SR,"Miami, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397834.png
15,Wildens Leveque,F,"6' 10""",255 lbs,JR,"Brockton, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431805.png
21,Ja'Von Benson,F,"6' 7""",250 lbs,SO,"Columbia, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593067.png
23,Devin Carter,G,"6' 3""",188 lbs,FR,"Miami, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433188.png
24,Keyshawn Bryant,F,"6' 6""",187 lbs,SR,"Winter Haven, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396951.png
33,Josh Gray,F,"7' 0""",255 lbs,SO,"Brooklyn, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4706679.png
44,Ford Cooper Jr.,G,"6' 3""",202 lbs,JR,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592710.png
55,Ta'Quan Woodley,F,"6' 8""",280 lbs,FR,"Camden, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684446.png
