number,name,position,height,weight,class,hometown,player_image
0,Gianni Hunt,G,"6' 4""",180 lbs,JR,"Lakewood, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431815.png
1,Maurice Calloo,F,"6' 10""",225 lbs,SR,"Windsor, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397043.png
2,Jarod Lucas,G,"6' 4""",195 lbs,JR,"Hacienda Heights, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431765.png
3,Dexter Akanno,G,"6' 5""",210 lbs,JR,"Valencia, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431877.png
4,Tre' Williams,G,"6' 6""",195 lbs,JR,"Dallas, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432873.png
5,Xzavier Malone-Key,G,"6' 4""",186 lbs,SR,"Philadelphia, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4067346.png
10,Warith Alatishe,F,"6' 8""",200 lbs,SR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398127.png
11,Chol Marial,C,"7' 2""",230 lbs,JR,"Rumbek, South Sudan",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431702.png
12,Roman Silva,C,"7' 1""",265 lbs,SR,"Rancho Cucamonga, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592414.png
13,Dashawn Davis,G,"6' 2""",185 lbs,JR,"Bronx, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898119.png
14,DyShawn Hobson,G,"6' 2""",190 lbs,JR,"Corvallis, OR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898120.png
24,Isaiah Johnson,F,"6' 6""",209 lbs,SO,"Torrance, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702389.png
34,Rodrigue Andela,F,"6' 8""",248 lbs,SR,"Yaounde, Cameroon",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702390.png
35,Glenn Taylor Jr.,F,"6' 6""",200 lbs,FR,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4833075.png
44,Ahmad Rand,F,"6' 8""",185 lbs,SR,"Lincolnton, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701206.png
