number,name,position,height,weight,class,hometown,player_image
0,Antonio Rizzuto,G,"6' 3""",210 lbs,SR,"York, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395873.png
1,Terry Nolan Jr.,G,"6' 4""",200 lbs,SR,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278494.png
2,Tyler Gill,G,"5' 11""",170 lbs,FR,"Raleigh, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897710.png
3,Tyler Coleman,F,"6' 7""",230 lbs,FR,"Woodbridge, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897711.png
5,Curtis Holland III,G,"6' 2""",220 lbs,SR,"Churchton, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397625.png
10,Rahdir Hicks,G,"6' 0""",160 lbs,FR,"Coatesville, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897712.png
11,Jason Gibson,G,"6' 1""",175 lbs,JR,"Severna Park, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592985.png
12,Juwan Gray,F,"6' 8""",225 lbs,SR,"Dover, DE",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4066744.png
13,Chase Paar,F,"6' 10""",250 lbs,JR,"Mount Airy, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432076.png
15,Chris Caliguiran,G,"5' 6""",140 lbs,SR,"Accokeek, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397592.png
23,Darrick Jones Jr.,G,"6' 5""",200 lbs,SO,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702786.png
25,Nicolas Timberlake,G,"6' 4""",200 lbs,JR,"Braintree, MA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397595.png
32,Charles Thompson,F,"6' 7""",240 lbs,JR,"Fort Washington, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433103.png
33,Brandon Held,G,"6' 3""",185 lbs,FR,"Marriottsville, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4900674.png
35,Chris Biekeu,F,"6' 7""",235 lbs,SO,"Montreal, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702788.png
44,Justin Patterson,G,"6' 4""",215 lbs,JR,"Bowie, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592986.png
45,Olugbemi Joseph,G,"6' 4""",200 lbs,FR,"Bowie, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4900675.png
55,Cameron Holden,G,"6' 5""",200 lbs,SR,"Forsyth, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703407.png
