number,name,position,height,weight,class,hometown,player_image
0,Kyle Harding,G,"6' 3""",185 lbs,JR,"Roosevelt, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703239.png
1,Jemarl Baker,G,"6' 5""",195 lbs,SR,"Menifee, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278072.png
3,Isaiah Hill,G,"6' 0""",165 lbs,JR,"Bakersfield, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593830.png
4,Junior Ballard,G,"6' 3""",185 lbs,SR,"Stockton, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397365.png
5,Jordan Campbell,G,"6' 4""",195 lbs,JR,"Adelanto, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397089.png
10,Orlando Robinson,F,"7' 0""",235 lbs,JR,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593049.png
11,Donavan Yap,G,"6' 5""",175 lbs,SO,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703386.png
13,Deon Stroud,G,"6' 5""",200 lbs,JR,"Fresno, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397866.png
22,Destin Whitaker,G,"6' 5""",185 lbs,SO,"Romeoville, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703240.png
23,Leo Colimerio,G,"6' 7""",190 lbs,SO,"Sao Paulo, Brazil",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703241.png
25,Anthony Holland,G,"6' 5""",225 lbs,JR,"Riverside, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593051.png
30,Robert Vaihola,F,"6' 8""",--,FR,--,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897515.png
33,Steven Vasquez,G,"6' 2""",--,FR,"Santa Maria, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897516.png
34,Braxton Meah,C,"7' 1""",250 lbs,SO,"Fresno, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703242.png
