number,name,position,height,weight,class,hometown
0,Dru Kuxhausen,G,"6' 0""",180 lbs,JR,"Scottsbluff, NE"
1,Jeremy Harrell,F,"6' 8""",240 lbs,JR,"Pickens, MS"
2,Sam Baker,G,"6' 4""",220 lbs,JR,"Rochester, MN"
3,Leondre Washington,G,"6' 0""",170 lbs,JR,"Englewood, NJ"
5,Evan Palmquist,G,"6' 4""",185 lbs,FR,"Houston, TX"
10,Luis Rivas,G,"6' 5""",190 lbs,JR,"Guadalajara, Mexico"
11,Myles Hutchinson,G,"6' 1""",180 lbs,JR,"Abbeville, LA"
12,A.J. Lawson,G,"6' 5""",215 lbs,JR,"Bryan, TX"
13,Trey Johnson,G,"6' 2""",175 lbs,SO,"Baton Rouge, LA"
20,Jalen Poyser,G,"6' 4""",180 lbs,SR,"Malton, ON"
22,Roydell Brown,G,"6' 6""",220 lbs,SR,"New Orleans, LA"
23,Sha'markus Kennedy,F,"6' 8""",220 lbs,SR,"Tuscaloosa, AL"
24,Chris Orlina,F,"6' 6""",185 lbs,JR,"Norfolk, VA"
44,Truman Moore,F,"6' 8""",240 lbs,SO,"Gilbert, AZ"
NA,Kentrevious Jones,F,"6' 10""",290 lbs,FR,"Macon, GA"
NA,Ra'Shawn Langston,G,"6' 3""",200 lbs,JR,"Little Rock, AR"
NA,Collin Warren,G,"6' 4""",188 lbs,FR,"Houston, TX"
