number,name,position,height,weight,class,hometown
1,Kashawn Charles,G,"6' 1""",185 lbs,JR,"Wyandanch, NY"
2,Jordan Skipper-Brown,F,"6' 6""",230 lbs,JR,"Little Rock, AR"
3,Mack Smith,G,"6' 2""",185 lbs,JR,"Indianapolis, IN"
4,Marvin Johnson,G,"6' 6""",190 lbs,JR,"Ardmore, OK"
5,Shareef Smith,G,"5' 10""",180 lbs,SR,"Madison, WI"
11,Logan Koch,G,"6' 1""",200 lbs,SR,"Shawnee, KS"
12,Dondre Duffus,G,"6' 2""",185 lbs,SR,"Palm Beach, FL"
13,Shawn Wilson,G,"5' 11""",165 lbs,SR,"Harvey, IL"
21,Braxton Shaw,F,"6' 7""",210 lbs,SR,"Fontana, CA"
22,Josiah Wallace,G,"6' 4""",185 lbs,JR,"Marshall, IL"
24,Rade Kukobat,F,"6' 9""",225 lbs,SR,"Chicago, IL"
25,Deang Deang,G,"6' 4""",185 lbs,JR,"Madison, WI"
32,JaQualis Matlock,F,"6' 5""",225 lbs,SR,"Hopkinsville, KY"
35,George Dixon,G,"6' 5""",230 lbs,JR,"Milwaukee, WI"
