number,name,position,height,weight,class,hometown
0,Rex Pflueger,G,"6' 6""",218 lbs,SR,"Dana Point, CA"
3,Prentiss Hubb,G,"6' 3""",175 lbs,SO,"Upper Marlboro, MD"
5,Cormac Ryan,G,"6' 5""",190 lbs,SO,"New York, NY"
10,TJ Gibbs,G,"6' 3""",185 lbs,SR,"Scotch Plains, NJ"
11,Juwan Durham,F,"6' 11""",223 lbs,SR,"Tampa, FL"
13,Nikola Djogo,G,"6' 7""",222 lbs,SR,"Hamilton, ON"
14,Nate Laszewski,F,"6' 10""",225 lbs,SO,"Jupiter, FL"
15,Chris Doherty,F,"6' 8""",235 lbs,SO,"Marlborough, MA"
23,Dane Goodwin,G,"6' 6""",200 lbs,SO,"Upper Arlington, OH"
24,Robby Carmody,G,"6' 4""",201 lbs,SO,"Mars, PA"
31,Elijah Morgan,G,"6' 0""",165 lbs,FR,"New Orleans, LA"
33,John Mooney,F,"6' 9""",245 lbs,SR,"Orlando, FL"
