number,name,position,height,weight,class,hometown
0,Josh Caldwell,G,"6' 2""",185 lbs,SO,"Columbia, SC"
2,Brendan Thiele,G,"6' 5""",205 lbs,SO,"Kearny, NJ"
3,Tommy Funk,G,"5' 11""",190 lbs,SR,"Warrington, PA"
4,Chris Mann,F,"6' 6""",205 lbs,FR,"Phillipsburg, NJ"
5,Mark Madden,G,"6' 5""",210 lbs,JR,"South Bend, IN"
10,Tucker Blackwell,G,"6' 2""",190 lbs,JR,"Bloomington, IN"
12,Nick Finke,F,"6' 7""",223 lbs,JR,"Champaign, IL"
13,Lonnie Grayson,G,"6' 0""",180 lbs,JR,"Cincinnati, OH"
14,Matt Wilson,F,"6' 9""",245 lbs,SR,"Alexandria, KY"
21,Will Culliton,G,"6' 2""",187 lbs,SR,"Wayzata, MN"
23,Aaron Duhart,G,"6' 0""",190 lbs,SO,"Richmond, VA"
25,Jordan Coleman,G,"6' 6""",190 lbs,SO,"Greenwood, SC"
30,Ben Kinker,F,"6' 9""",220 lbs,SO,"Greensburg, IN"
32,John Scully,G,"6' 1""",185 lbs,SO,"Flower Mound, TX"
33,Sam Parini,C,"6' 11""",240 lbs,FR,"Erie, PA"
35,Alex King,F,"6' 8""",200 lbs,JR,"Columbus, IN"
42,Miles Lightfoot,F,"6' 9""",210 lbs,FR,"Gilbert, AZ"
43,Keeston Smith,F,"6' 5""",210 lbs,SR,"Oregon City, OR"
52,Ben Jensen,F,"6' 10""",200 lbs,FR,"Fairfax, VA"
53,Lance Lawson,G,"6' 2""",195 lbs,SR,"Charlotte, NC"
