number,name,position,height,weight,class,hometown
0,Aaron Clarke,G,"6' 1""",185 lbs,SO,"Parsippany, NJ"
2,Koreem Ozier,G,"6' 1""",180 lbs,SO,"Racine, WI"
3,Myles Cephas,F,"6' 7""",215 lbs,SO,"Chicago, IL"
4,Alex Watson,G,"6' 3""",170 lbs,JR,"Marietta, GA"
5,Zach Pfaffenberger,F,"6' 8""",215 lbs,SO,"Midlothian, VA"
11,Cameron Parker,G,"6' 2""",170 lbs,SO,"Beaverton, OR"
12,Zach Radz,G,"6' 2""",203 lbs,SR,"Watervliet, NY"
13,Chaylyn Martin,G,"6' 0""",160 lbs,SO,"Hartford, CT"
22,Tyler Thomas,G,"6' 3""",195 lbs,FR,"New Haven, CT"
24,E.J. Anosike,G,"6' 6""",245 lbs,JR,"East Orange, NJ"
25,Jare'l Spellman,F,"6' 10""",205 lbs,SR,"Glen Allen, VA"
30,Kinnon LaRose,G,"6' 3""",185 lbs,SR,"Ogdensburg, NY"
32,Abood Abuissa,G,"6' 4""",210 lbs,FR,"Doha, Qatar"
