number,name,position,height,weight,class,hometown
0,DJ Mitchell,F,"6' 8""",215 lbs,JR,"Clovis, CA"
1,David Thompson,G,"6' 0""",165 lbs,JR,"Milwaukee, WI"
2,Tahj Eaddy,G,"6' 2""",165 lbs,JR,"West Haven, CT"
3,Trey Wertz,G,"6' 4""",185 lbs,SO,"Charlotte, NC"
4,Giordan Williams,G,"6' 3""",165 lbs,FR,"Long Beach, CA"
10,Miguel Tomley,G,"6' 3""",185 lbs,FR,"Surrey, BC"
12,Jaden Bediako,C,"6' 10""",240 lbs,FR,"Brampton, ON"
13,Josip Vrankic,F,"6' 9""",215 lbs,JR,"Toronto, ON"
14,Keshawn Justice,F,"6' 7""",220 lbs,SO,"Madison, WI"
15,Juan Ducasse,F,"6' 9""",210 lbs,SO,"Montevideo, Uruguay"
22,Max Dorward,G,"6' 4""",170 lbs,SO,"Palo Alto, CA"
23,Ezekiel Richards,C,"6' 10""",240 lbs,SO,"Oak Park, CA"
24,Jalen Williams,G,"6' 6""",190 lbs,FR,"Gilbert, AZ"
25,Noah Lack,G,"6' 4""",--,JR,"Houston, TX"
30,Guglielmo Caruso,F,"6' 11""",210 lbs,SO,"Naples, Italy"
33,Matthew Hayes,G,"5' 11""",170 lbs,SR,"Salem, OR"
