number,name,position,height,weight,class,hometown
0,Jalen Gaffney,G,"6' 2""",175 lbs,FR,"Columbus, NJ"
1,Christian Vital,G,"6' 2""",187 lbs,SR,"Queens Village, NY"
2,James Bouknight,G,"6' 4""",175 lbs,FR,"Brooklyn, NY"
3,Alterique Gilbert,G,"6' 0""",180 lbs,JR,"Atlanta, GA"
4,R.J. Cole,G,"6' 1""",185 lbs,JR,"Union, NJ"
5,Isaiah Whaley,F,"6' 8""",220 lbs,JR,"Gastonia, NC"
10,Brendan Adams,G,"6' 4""",200 lbs,SO,"Hanover, MD"
12,Tyler Polley,F,"6' 9""",204 lbs,JR,"Miramar, FL"
13,Richie Springs,F,"6' 9""",220 lbs,FR,"Brooklyn, NY"
15,Sidney Wilson,F,"6' 7""",180 lbs,SO,"Bronx, NY"
23,Akok Akok,F,"6' 9""",193 lbs,FR,"Manchester, NH"
25,Josh Carlton,C,"6' 11""",260 lbs,JR,"Winterville, NC"
41,Matt Garry,G,"6' 5""",188 lbs,SO,"Southington, CT"
45,Temi Aiyegbusi,G,"6' 4""",200 lbs,SR,"Conshohocken, PA"
