number,name,position,height,weight,class,hometown
0,Donald Carey,G,"6' 5""",185 lbs,SO,"Upper Marlboro, MD"
1,Elijah Burns,F,"6' 8""",236 lbs,SR,"Troy, NY"
2,Gary Harris Jr.,G,"6' 6""",193 lbs,FR,"Los Angeles, CA"
3,Manny Camper,G,"6' 7""",203 lbs,JR,"Chestertown, MD"
5,Matt Hein,G,"6' 4""",190 lbs,SR,"Windermere, FL"
12,Dana Tate,F,"6' 7""",230 lbs,SO,"Boston, MA"
12,Kyle Young,F,"6' 9""",239 lbs,FR,"Bethlehem, PA"
13,Ben Diamond,G,"5' 11""",152 lbs,SR,"Loudonville, NY"
14,Jordan King,G,"6' 0""",185 lbs,FR,"Albany, NY"
15,Robert Mahala,G,"6' 5""",168 lbs,SO,"Jackson, NJ"
20,Denzel Tchougang,F,"6' 10""",218 lbs,JR,"Geneva, Switzerland"
22,Jalen Pickett,G,"6' 4""",192 lbs,SO,"Rochester, NY"
24,Jimmy Ratliff,G,"6' 8""",186 lbs,SO,"Middletown, OH"
30,Luke Sutherland,F,"6' 7""",203 lbs,FR,"Syracuse, NY"
33,Georges Darwiche,G,"6' 1""",192 lbs,SO,"Bucharest, Romania"
35,Sammy Friday IV,F,"6' 9""",237 lbs,SR,"Jersey City, NJ"
