number,name,position,height,weight,class,hometown
0,Zion Williams,G,"6' 4""",193 lbs,JR,"Maybrook, NY"
2,Rob Whitfield,G,"6' 3""",175 lbs,SR,"Raleigh, NC"
3,Brandon McKissic,G,"6' 3""",195 lbs,JR,"Ferguson, MO"
4,Jahshire Hardnett,G,"5' 11""",193 lbs,SR,"Gulfport, MS"
5,Jordan Giles,F,"6' 7""",225 lbs,SR,"Tuscaloosa, AL"
10,Fofo Adetogun,G,"6' 1""",189 lbs,FR,"Regina, SK"
11,Franck Kamgain,G,"6' 2""",195 lbs,SO,"Kansas City, MO"
12,Maks Klanjscek,G,"6' 5""",200 lbs,FR,"Ljubljana, Slovenia"
20,Josiah Allick,F,"6' 7""",220 lbs,FR,"Lincoln, NE"
23,Steve Dulley,G,"6' 3""",200 lbs,JR,"Kansas City, MO"
25,Javan White,F,"6' 10""",230 lbs,SR,"Ames, IA"
33,Marvin Nesbitt Jr.,G,"6' 4""",180 lbs,JR,"Chicago, IL"
35,Brandon Suggs,F,"6' 8""",220 lbs,JR,"Rockford, IL"
NA,Malik Cherry,G,"6' 0""",178 lbs,FR,"Kansas City, MO"
NA,Jacob Johnson,G,"6' 5""",180 lbs,FR,"Brooklyn Park, MN"
NA,Sam Martin,G,"6' 0""",185 lbs,FR,"Fort Worth, TX"
NA,Demarius Pitts,G,"6' 4""",180 lbs,FR,"Clinton, MD"
