number,name,position,height,weight,class,hometown,player_image
0,Aaron Cash,G,"6' 6""",210 lbs,SR,"San Francisco, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896467.png
1,Chendall Weaver,G,"6' 3""",164 lbs,FR,"Mansfield, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105486.png
2,Brandon Walker,F,"6' 7""",260 lbs,FR,"Oak Cliff, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105487.png
3,Taj Anderson,G,"6' 4""",171 lbs,JR,"Queens, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105488.png
4,Kyron Gibson,G,"6' 1""",198 lbs,JR,"Alexandria, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105489.png
5,Brandyn Talbot,G,"6' 5""",181 lbs,SO,"Newmarket, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702054.png
10,Shaysten Cornish,G,"6' 0""",196 lbs,SO,"Arlington, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105490.png
12,Damonze Woods,F,"6' 7""",205 lbs,FR,"Amarillo, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105491.png
14,Cash Clayton,G,"6' 2""",173 lbs,FR,"Austin, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105492.png
21,Pedro Castro,G,"6' 6""",196 lbs,SR,"Fort Worth, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280271.png
22,Shemar Wilson,F,"6' 9""",215 lbs,SO,"Avondale, AZ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897135.png
23,Dario Domingos,F,"6' 8""",261 lbs,SO,"Luanda, Angola",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105493.png
24,Montez Young Jr.,F,"6' 5""",192 lbs,SO,"Waxahachie, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897136.png
55,Marion Humphrey,G,"6' 3""",192 lbs,JR,"Hoover, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431994.png
