number,name,position,height,weight,class,hometown,player_image
0,Logan Johnson,G,"6' 2""",177 lbs,SR,"Mountain View, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396608.png
1,Harry Wessels,C,"7' 1""",255 lbs,FR,"Perth, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105418.png
3,Augustas Marciulionis,G,"6' 4""",195 lbs,SO,"Vilnius, Lithuania",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897197.png
5,Josh Jefferson,F,"6' 8""",220 lbs,FR,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4870564.png
11,Mitchell Saxen,C,"6' 10""",242 lbs,JR,"Seattle, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701182.png
12,Cade Bennett,G,"6' 0""",170 lbs,FR,"Moraga, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105419.png
14,Kyle Bowen,F,"6' 8""",222 lbs,SR,"Perth, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431902.png
15,Chris Howell,G,"6' 6""",195 lbs,FR,"San Diego, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684163.png
20,Aidan Mahaney,G,"6' 3""",180 lbs,FR,"Lafayette, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684628.png
22,Matt Van Komen,C,"7' 4""",250 lbs,JR,"Pleasant Grove, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432858.png
23,Leemet Bockler,G,"6' 7""",215 lbs,JR,"Tallin, Estonia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701183.png
24,Kevin Gad,F,"6' 6""",195 lbs,FR,"Livermore, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105421.png
25,Mason Forbes,F,"6' 9""",230 lbs,SR,"Folsom, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397970.png
33,Luke Barrett,G,"6' 6""",200 lbs,SO,"Piedmont, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701184.png
44,Alex Ducas,G,"6' 7""",220 lbs,SR,"Geraldton, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432971.png
