player_id,number,name,position,height,weight,class,hometown,player_image
5107222,0,Xavier Brown,G,"6' 2""",170 lbs,FR,"Williamsburg, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107222.png
4431956,1,Noah Freidel,G,"6' 4""",210 lbs,JR,"Tea, SD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431956.png
4702666,2,Tyree Ihenacho,G,"6' 4""",195 lbs,SO,"Prior Lake, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702666.png
4397972,4,Vado Morse,G,"6' 0""",170 lbs,SR,"Suitland, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397972.png
4702766,5,Terrence Edwards,G,"6' 6""",190 lbs,SO,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702766.png
4702767,10,Terell Strickland,G,"6' 0""",175 lbs,SO,"Tampa, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702767.png
4702765,11,Justin Amadi,F,"6' 7""",225 lbs,SO,"Greenville, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702765.png
5107223,12,Brycen Blaine,G,"6' 5""",195 lbs,FR,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107223.png
4396837,13,Mezie Offurum,F,"6' 8""",230 lbs,SR,"Germantown, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396837.png
4279481,15,Takal Molson,G,"6' 4""",210 lbs,SR,"Buffalo, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279481.png
5107224,20,Dylan Hamrick,G,"6' 0""",170 lbs,JR,"Strasburg, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107224.png
4702769,21,Hollman Smith,G,"6' 0""",185 lbs,SO,"Falls Church, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702769.png
4433127,22,Julien Wooden,F,"6' 8""",225 lbs,JR,"Roanoke, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433127.png
4280279,25,Alonzo Sule,F,"6' 7""",225 lbs,SR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280279.png
5113262,30,Ben Hall,F,"6' 10""",210 lbs,FR,"Hamilton, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5113262.png
5107225,33,Jerrell Roberson,F,"6' 9""",225 lbs,FR,"Upper Marlboro, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107225.png
4897706,35,Shane Feden,F,"6' 6""",175 lbs,SO,"Woodbridge, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897706.png
