number,name,position,height,weight,class,hometown,player_image
0,John McGriff,G,"6' 0""",185 lbs,JR,"Glenn Dale, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432056.png
1,Tariq Balogun,F,"6' 10""",240 lbs,JR,"London, England",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593475.png
2,Armon Harried,G,"6' 5""",205 lbs,JR,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593149.png
3,Jacob Falko,G,"6' 3""",190 lbs,SR,"North East, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702061.png
4,Masud Stewart,G,"6' 1""",185 lbs,FR,"New Castle, DE",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106653.png
10,Miles Gibson,F,"6' 6""",205 lbs,SR,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106654.png
11,Dan Petcash,G,"6' 4""",205 lbs,SR,"Pittsburgh, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592893.png
13,Taveion White,F,"6' 8""",220 lbs,SR,"Prosper, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432139.png
15,Ador Athuai,C,"6' 11""",200 lbs,SR,"Twic, South Sudan",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592895.png
21,Ogheneyole Akuwovo,F,"6' 9""",220 lbs,SR,"Delta State, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398164.png
24,Christian Hinckson,G,"6' 6""",210 lbs,SR,"Queens, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4398106.png
30,Matt Solomon,G,"6' 3""",190 lbs,SO,"Newbury Park, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106655.png
