number,name,position,height,weight,class,hometown,player_image
0,Kerwin Prince,F,"6' 5""",213 lbs,JR,"Waterbury, CT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106584.png
1,Joe Munden Jr.,G,"6' 3""",188 lbs,JR,"Harlem, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703144.png
2,Demetre Roberts,G,"5' 8""",165 lbs,SR,"Mount Vernon, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106585.png
3,Heru Bligen,G,"6' 2""",183 lbs,SR,"Glenn Dale, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432944.png
4,Grant Singleton,G,"5' 9""",163 lbs,SR,"Sumter, SC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106586.png
5,Ansley Almonor,F,"6' 6""",219 lbs,SO,"Spring Valley, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897995.png
11,Sean Moore,F,"6' 4""",175 lbs,JR,"Columbus, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106587.png
12,Sebastien Lamaute,G,"6' 1""",198 lbs,JR,"St. Bruno, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897996.png
13,Jo'el Emanuel,F,"6' 6""",196 lbs,FR,"Suffern, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106588.png
14,Pier-Olivier Racine,F,"6' 7""",232 lbs,JR,"Gatineau, PQ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703145.png
20,Brandon Upshaw,G,"5' 9""",161 lbs,SO,"Tarrytown, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4903087.png
21,Cameron Tweedy,F,"6' 4""",222 lbs,SO,"Waldorf, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106589.png
22,Trevon Blassingame,G,"6' 4""",173 lbs,FR,"Auburn, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106590.png
24,Brayden Reynolds,G,"6' 1""",194 lbs,FR,"Pittsburgh, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106591.png
25,Daniel Rodriguez,F,"6' 5""",215 lbs,SR,"Newark, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593241.png
