number,name,position,height,weight,class,hometown,player_image
0,Rich Rolf,F,"6' 7""",195 lbs,FR,"Centerville, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106862.png
1,Montre' Gipson,G,"5' 11""",200 lbs,SR,"Desoto, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705372.png
3,Brice Williams,G,"6' 7""",215 lbs,JR,"Huntersville, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592843.png
5,Isaiah Folkes,G,"6' 4""",190 lbs,SO,"Gainesville, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4712255.png
10,Nik Graves,G,"6' 3""",170 lbs,FR,"Durham, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106863.png
11,Daylen Berry,G,"6' 4""",170 lbs,FR,"Cary, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897458.png
12,Jackson Threadgill,G,"6' 6""",200 lbs,JR,"Concord, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702738.png
14,Regin Larson,G,"6' 6""",185 lbs,SR,"Charlotte, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4603783.png
15,Aly Khalifa,F,"6' 11""",230 lbs,SO,"Alexandria, Egypt",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702739.png
20,Robert Braswell IV,F,"6' 7""",205 lbs,SR,"Jacksonville, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395675.png
21,Musa Jallow,G,"6' 5""",210 lbs,SR,"Bloomington, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4277973.png
22,Josh Aldrich,F,"6' 7""",200 lbs,SR,"Wilmington, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397838.png
24,Igor Milicic Jr.,F,"6' 10""",225 lbs,SO,"Pula, Croatia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897404.png
25,Lu'Cye Patterson,G,"6' 2""",210 lbs,SO,"Minneapolis, MN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703979.png
30,Tyler Fearne,G,"6' 6""",175 lbs,FR,"Cairns, QLD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897459.png
