number,name,position,height,weight,class,hometown,player_image
0,Posh Alexander,G,"6' 0""",200 lbs,JR,"Brooklyn, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433156.png
2,AJ Storr,G,"6' 6""",200 lbs,FR,"Rockford, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105603.png
3,Andre Curbelo,G,"6' 1""",175 lbs,JR,"Vega Baja, Puerto Rico",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432195.png
4,O'Mar Stanley,F,"6' 8""",230 lbs,SO,"Overland Park, KS",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703032.png
5,Dylan Addae-Wusu,G,"6' 4""",235 lbs,JR,"Bronx, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4590361.png
10,Montez Mathis,G,"6' 4""",210 lbs,SR,"Baltimore, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397250.png
11,Joel Soriano,C,"6' 11""",260 lbs,SR,"Yonkers, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592317.png
12,Kolby King,G,"6' 2""",170 lbs,FR,"Pembroke Pines, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105604.png
13,Jason Simpson,G,"5' 10""",155 lbs,SO,"West Palm Beach, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897418.png
14,Parker Williams,G,"6' 0""",180 lbs,FR,"Birmingham, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106303.png
22,Esahia Nyiwe,F,"6' 10""",220 lbs,SR,"Omaha, NE",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897419.png
23,David Jones,F,"6' 6""",210 lbs,JR,"Santo Domingo, Dominican Republic",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4713010.png
24,Rafael Pinzon,G,"6' 6""",190 lbs,SO,"Arecibo, Puerto Rico",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683951.png
34,Mohamed Keita,C,"7' 1""",220 lbs,FR,"Conakry, Guinea",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105605.png
55,Drissa Traore,F,"6' 8""",215 lbs,FR,"New York, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684303.png
