number,name,position,height,weight,class,hometown,player_image
0,Avery Anderson III,G,"6' 3""",158 lbs,SR,"Justin, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432851.png
1,Bryce Thompson,G,"6' 6""",194 lbs,JR,"Tulsa, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432200.png
2,Chris Harris Jr.,G,"6' 2""",223 lbs,SR,"Dallas, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592267.png
4,Woody Newton,G,"6' 9""",195 lbs,JR,"District Heights, MD",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4601285.png
5,Caleb Asberry,G,"6' 3""",165 lbs,SR,"Pflugerville, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593924.png
12,Naz Brown,G,"6' 0""",181 lbs,FR,"Fort Worth, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106273.png
13,Quion Williams,G,"6' 4""",208 lbs,FR,"Jonesboro, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106274.png
15,Carson Sager,G,"6' 4""",207 lbs,JR,"Wichita Falls, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700812.png
21,Brooks Manzer,G,"6' 3""",190 lbs,SO,"Edmond, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897750.png
22,Kalib Boone,F,"6' 9""",198 lbs,SR,"Tulsa, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432854.png
23,Tyreek Smith,F,"6' 9""",217 lbs,JR,"Baton Rouge, LA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431764.png
25,Bernard Kouma,F,"6' 10""",240 lbs,SR,"N'Djamena, Chad",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700813.png
33,Moussa Cisse,F,"7' 1""",216 lbs,JR,"Conakry, Guinea",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701208.png
35,Weston Church,G,"6' 3""",180 lbs,JR,"Fairview, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700814.png
51,John-Michael Wright,G,"6' 1""",190 lbs,SR,"Fayetteville, NC",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592741.png
