number,name,position,height,weight,class,hometown,player_image
0,K.D. Johnson,G,"6' 0""",185 lbs,JR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432363.png
1,Wendell Green Jr.,G,"5' 11""",175 lbs,JR,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433198.png
2,Jaylin Williams,F,"6' 8""",230 lbs,SR,"Nahunta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431776.png
3,Tre Donaldson,G,"6' 2""",190 lbs,FR,"Tallahassee, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105522.png
4,Johni Broome,F,"6' 10""",235 lbs,SO,"Plant City, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433569.png
5,Chris Moore,F,"6' 6""",230 lbs,JR,"West Memphis, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433200.png
10,Chance Westry,G,"6' 6""",190 lbs,FR,"Harrisburg, PA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105523.png
12,Zep Jasper,G,"6' 1""",190 lbs,SR,"Augusta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4311618.png
14,Presley Patterson,G,"5' 11""",175 lbs,FR,"Knoxville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105524.png
20,Carter Sobera,G,"6' 5""",200 lbs,JR,"Birmingham, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4706859.png
21,Yohan Traore,F,"6' 10""",225 lbs,FR,"Tours, France",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105525.png
22,Allen Flanigan,G,"6' 6""",220 lbs,SR,"Little Rock, AR",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432874.png
23,Babatunde Akingbola,C,"6' 10""",245 lbs,SR,"Ogun, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431873.png
24,Lior Berman,G,"6' 4""",215 lbs,SR,"Birmingham, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592748.png
25,Chandler Leopard,G,"6' 3""",195 lbs,SR,"Athens, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4603956.png
42,Haston Alexander,C,"6' 10""",230 lbs,FR,"Tuscumbia, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105526.png
44,Dylan Cardwell,C,"6' 11""",256 lbs,JR,"Augusta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433174.png
55,Jalen Harper,G,"6' 0""",175 lbs,SR,"Mableton, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592253.png
