number,name,position,height,weight,class,hometown,player_image
0,Alex Anderson,G,"6' 6""",205 lbs,SO,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897173.png
1,Amarr Knox,G,"6' 3""",170 lbs,FR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107437.png
2,Jordan O'Neal,F,"6' 7""",210 lbs,JR,"Mobile, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703116.png
3,Christian McCray,G,"6' 6""",185 lbs,SR,"Las Vegas, NV",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702483.png
4,Duane Posey,F,"6' 7""",215 lbs,JR,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107438.png
5,Kendal Parker,G,"6' 4""",180 lbs,FR,"Montgomery, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107439.png
10,Ashton McClelland,G,"6' 0""",150 lbs,SR,"Houston, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397950.png
11,Damien Madison,G,"6' 0""",177 lbs,SR,"Montgomery, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4404069.png
12,Malik Smiley,G,"6' 3""",165 lbs,JR,"Birmingham, AL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4597888.png
14,Roland McCoy,G,"6' 2""",205 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107440.png
20,TJ Madlock,G,"6' 3""",190 lbs,SO,"Memphis, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898331.png
22,Darrell Reed,F,"6' 8""",215 lbs,FR,"Hammond, IN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897874.png
24,Isaiah Range,G,"6' 4""",215 lbs,JR,"Cedar Hill, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4705379.png
25,Jasteven Walker,F,"6' 10""",190 lbs,FR,"Oakland, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107441.png
30,Eric Coleman,F,"6' 8""",210 lbs,JR,"Buford, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107442.png
55,Keyon Wesley,F,"6' 9""",205 lbs,SR,"Chesilhurst, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702136.png
