number,name,position,height,weight,class,hometown,player_image
0,Anthony Roy,G,"6' 5""",200 lbs,SO,"Oakland, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701189.png
1,Marchelus Avery,F,"6' 8""",215 lbs,SO,"Richmond, VA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896927.png
2,Issa Muhammad,F,"6' 9""",240 lbs,JR,"Atlanta, GA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108977.png
3,Xavier Pinson,G,"6' 2""",175 lbs,SR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396953.png
4,James Beck,F,"6' 8""",215 lbs,SR,"Grand Rapids, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4279495.png
5,Kyle Feit,G,"6' 4""",190 lbs,JR,"Boca Raton, FL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397021.png
11,DaJuan Gordon,G,"6' 5""",195 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432891.png
13,Doctor Bradley,F,"6' 8""",205 lbs,SO,"Los Angeles, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108978.png
14,Shahar Lazar,G,"6' 3""",200 lbs,FR,"Ashdod, Israel",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108979.png
15,Mike Peake,F,"6' 7""",218 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4572450.png
21,Ziri Blackwood,G,"6' 3""",170 lbs,SO,"Killeen, TX",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108980.png
22,Deuce Benjamin,G,"6' 1""",175 lbs,FR,"Las Cruces, NM",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108981.png
23,Ethan Anderson,F,"6' 9""",220 lbs,FR,"Kaysville, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108982.png
24,Kim Aiken Jr.,F,"6' 7""",215 lbs,SR,"Redlands, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278602.png
25,Jaden Alexander,G,"6' 4""",200 lbs,FR,"Vallejo, CA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108983.png
31,Isaac Shingange,F,"6' 5""",180 lbs,FR,"New York, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108984.png
34,Shakiru Odunewu,F,"6' 10""",245 lbs,SO,"Providence, RI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896933.png
35,Vuk Vucevic,F,"6' 6""",190 lbs,FR,"Paris, France",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108985.png
42,Deshawndre Washington,G,"6' 7""",205 lbs,JR,"Chicago, IL",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593138.png
