number,name,position,height,weight,class,hometown,player_image
0,Noah Waterman,F,"6' 11""",210 lbs,JR,"Savannah, NY",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702703.png
1,Trey Stewart,G,"6' 2""",190 lbs,SO,"American Fork, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896971.png
2,Jaxson Robinson,G,"6' 7""",190 lbs,SO,"Ada, OK",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702528.png
3,Rudi Williams,G,"6' 2""",190 lbs,SR,"Hamilton, ON",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4700534.png
4,Atiki Ally Atiki,F,"6' 10""",215 lbs,SO,"Mwanza, Tanzania",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896973.png
5,Gideon George,F,"6' 6""",210 lbs,SR,"Minna, Nigeria",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701218.png
10,Tredyn Christensen,F,"6' 7""",235 lbs,JR,"Eagle Mountain, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4905776.png
12,Braeden Moore,F,"6' 9""",210 lbs,FR,"Nashville, TN",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4838720.png
13,Tanner Toolson,G,"6' 5""",195 lbs,FR,"Vancouver, WA",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105461.png
15,Richie Saunders,G,"6' 5""",200 lbs,FR,"Riverton, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105462.png
20,Spencer Johnson,G,"6' 5""",195 lbs,JR,"American Fork, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701219.png
21,Trevin Knell,G,"6' 5""",185 lbs,JR,"Woods Cross, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593744.png
24,Tanner Hayhurst,G,"6' 6""",210 lbs,FR,"Eagle, ID",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105463.png
30,Dallin Hall,G,"6' 4""",200 lbs,FR,"Plain City, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105464.png
33,Nate Webb,F,"6' 6""",210 lbs,SO,"Rexburg, ID",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105465.png
45,Fousseyni Traore,F,"6' 6""",240 lbs,SO,"Bamako, Mali",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4712348.png
51,Jared McGregor,G,"6' 3""",180 lbs,FR,"Saratoga Springs, UT",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105466.png
55,Hao Dong,F,"6' 6""",210 lbs,FR,"Beijing, China",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105467.png
