number,name,position,height,weight,class,hometown,player_image
0,Kevin-David Rice,G,"6' 4""",200 lbs,JR,"Flint, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898290.png
1,Colin Golson Jr.,F,"6' 6""",230 lbs,SO,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703512.png
2,Noah Farrakhan,G,"6' 2""",162 lbs,SO,"Newark, NJ",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432203.png
3,Luka Savicevic,G,"6' 3""",150 lbs,SO,"Skopje, Macedonia",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898292.png
4,Jalin Billingsley,F,"6' 7""",218 lbs,SO,"Cleveland, OH",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4687376.png
5,Tyson Acuff,G,"6' 4""",196 lbs,JR,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4606831.png
10,Orlando Lovejoy,G,"6' 2""",184 lbs,FR,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108764.png
12,Andrew Wells,G,"6' 3""",163 lbs,SO,"East Lansing, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703078.png
13,Prakash Ketterhagen,G,"6' 3""",208 lbs,SO,"Kalamazoo, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898296.png
15,Derik Pranger,F,"6' 9""",186 lbs,FR,"Parker, CO",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108765.png
21,Emoni Bates,F,"6' 10""",170 lbs,SO,"Ypsilanti, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433620.png
22,Yusuf Jihad,F,"6' 7""",220 lbs,SR,"Farmington Hills, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593347.png
23,Legend Geeter,F,"6' 7""",230 lbs,SO,"River Rouge, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684296.png
30,Joey Zaher,G,"5' 11""",164 lbs,FR,"Fenton, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5108766.png
33,Derek Ballard Jr.,F,"6' 8""",232 lbs,SR,"Southfield, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4283948.png
35,Javantae Randle,F,"6' 9""",205 lbs,SO,"Detroit, MI",https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4898295.png
