number,name,position,height,weight,class,hometown
0,Jimond Ivey,G,"6' 4""",195 lbs,SO,"Cleveland, OH"
1,Josh Williams,G,"6' 2""",185 lbs,FR,"Akron, OH"
2,Kwan Cheatham Jr.,F,"6' 10""",235 lbs,JR,"Cincinnati, OH"
3,Daniel Utomi,G/F,"6' 6""",215 lbs,FR,"Houston, TX"
5,Craig Eubanks,G/F,"6' 4""",190 lbs,JR,"Cleveland, OH"
10,Carlitos Anderson,G,"6' 1""",185 lbs,JR,"Cincinnati, OH"
10,Tyler Dunn,G,"6' 0""",180 lbs,FR,"Canton, OH"
11,Aaron Jackson,G,"6' 8""",215 lbs,SO,"Gahanna, OH"
12,Marquelle McIntyre,G,"5' 10""",175 lbs,FR,"Greensboro, NC"
14,Noah Robotham,G,"6' 1""",165 lbs,SO,"Las Vegas, NV"
15,Jake Kretzer,G/F,"6' 7""",220 lbs,SR,"Waverly, OH"
20,Mark Noble,G,"6' 2""",170 lbs,JR,"Akron, OH"
21,Reggie McAdams,G/F,"6' 7""",215 lbs,SR,"Elida, OH"
22,Emmanuel Olojakpoke,F,"6' 7""",205 lbs,FR,"Houston, TX"
23,Isaiah Johnson,C,"6' 10""",295 lbs,JR,"Cincinnati, OH"
33,Sean Dowling,F,"6' 6""",185 lbs,SO,"Louisville, KY"
35,Pat Forsythe,C,"6' 11""",245 lbs,SR,"Brunswick, OH"
42,Peter Agba,F,"6' 6""",210 lbs,FR,"Greensboro, NC"
55,Antino Jackson,G,"5' 11""",160 lbs,SO,"Cypress, TX"
