number,name,position,height,weight,class,hometown
1,Ty Cockfield,G,"6' 0""",175 lbs,FR,"Gainesville, GA"
2,Grant Lozoya,G,"6' 2""",190 lbs,SO,"Westlake Village, CA"
3,B.J. Glasford,G/F,"6' 4""",190 lbs,JR,"Miami, FL"
4,Divine Myles,G,"5' 11""",185 lbs,SO,"Mobile, AL"
5,Angel Rivera,G,"5' 8""",165 lbs,SO,"Bayamon, Puerto Rico"
13,Cameron Harvey,G,"6' 3""",215 lbs,JR,"Naperville, IL"
20,Drew Romich,F/C,"6' 9""",220 lbs,FR,"Marietta, GA"
21,Will Hollmann,F/C,"6' 8""",245 lbs,FR,"DeLand, FL"
22,Derick Newton,F,"6' 7""",225 lbs,FR,"Beverly Hills, CA"
23,Kevin Ndahiro,F/C,"6' 9""",240 lbs,FR,"Ottawa, ON"
33,Luke Doyle,G,"6' 5""",205 lbs,SO,"Oviedo, FL"
35,Leo Goodman,G/F,"6' 5""",210 lbs,FR,"Las Vegas, NV"
41,Brian Pegg,F,"6' 7""",220 lbs,JR,"Clearwater, FL"
