number,name,position,height,weight,class,hometown
0,Brynton Lemar,G,"6' 4""",195 lbs,JR,"San Diego, CA"
1,Lawrence White,G,"6' 4""",203 lbs,JR,"Burbank, CA"
2,Darius Graham,G,"5' 10""",180 lbs,JR,"Sacramento, CA"
5,Siler Schneider,G,"6' 3""",183 lbs,FR,"Lansing, KS"
11,Chima Moneke,F,"6' 6""",216 lbs,JR,"Canberra, Australia"
12,Georgi Funtarov,F,"6' 8""",214 lbs,JR,"Sofia, Bulgaria"
13,J.T. Adenrele,F,"6' 7""",235 lbs,SR,"Roseville, CA"
14,Luca Ferrari,G,"6' 1""",180 lbs,FR,"Studio City, CA"
21,Josh Fox,F,"6' 6""",215 lbs,SR,"Daly City, CA"
22,Neal Monson,C,"6' 10""",245 lbs,JR,"Sandy, UT"
23,Rogers Printup,G,"6' 4""",205 lbs,FR,"Orange, CA"
24,Nolan Berry,F/C,"6' 10""",235 lbs,SO,"St. Louis, MO"
30,Joe Mooney,G,"6' 3""",173 lbs,FR,"Wauconda, IL"
31,Michael Onyebalu,G,"6' 3""",190 lbs,SO,"Inglewood, CA"
44,Garrison Goode,F,"6' 7""",220 lbs,FR,"River Hills, WI"
