number,name,position,height,weight,class,hometown
0,Sean O'Brien,G,"6' 2""",188 lbs,SO,"Lafayette Hill, PA"
1,Austin Tillotson,G,"6' 0""",175 lbs,SR,"York, PA"
2,Nathan Harries,G,"6' 2""",180 lbs,JR,"Alpharetta, GA"
3,David Favorite,G,"6' 3""",200 lbs,FR,"San Antonio, TX"
4,Sam Lindgren,F,"6' 6""",210 lbs,FR,"Doylestown, PA"
5,Malcolm Regisford,F/C,"6' 8""",220 lbs,FR,"Woodland Hills, CA"
10,Alex Ramon,G,"6' 1""",196 lbs,SR,"Victoria-Gasteiz, Spain"
12,Dana Batt,C,"6' 9""",215 lbs,FR,"Fort Wayne, IN"
13,Andrew Bargmann,G,"6' 3""",180 lbs,JR,"Downington, PA"
14,Tom Rivard,F,"6' 7""",200 lbs,SO,"Worcester, MA"
15,Jordan Swopshire,F,"6' 7""",210 lbs,SO,"O'Fallon, MO"
21,Ryan Diew,G,"6' 2""",180 lbs,JR,"Oakland, CA"
22,Dave Krmpotich,F,"6' 7""",180 lbs,FR,"Conshohocken, PA"
25,Jordan Robertson,G,"6' 3""",185 lbs,SO,"Cape May Court House, NJ"
30,Francisco Amiel,G,"6' 2""",172 lbs,FR,"Corroios, Portugal"
