number,name,position,height,weight,class,hometown
0,Bryce Moore,G,"6' 2""",190 lbs,FR,"Indianapolis, IN"
1,Tucker Haymond,F,"6' 6""",220 lbs,JR,"Seattle, WA"
2,Connar Tava,F,"6' 6""",245 lbs,SR,"Macomb, MI"
3,Josh Davis,G/F,"6' 5""",175 lbs,FR,"Detroit, MI"
4,Jared Klein,G,"6' 2""",175 lbs,SR,"Otsego, MI"
10,Thomas Wilder,G,"6' 3""",185 lbs,SO,"Montgomery, IL"
11,Ryan Wade,G,"5' 9""",170 lbs,FR,"Laingsburg, MI"
15,Khadim Dieng,C,"6' 11""",200 lbs,SO,Senegal
22,Joeviair Kennedy,G/F,"6' 4""",195 lbs,FR,"Muskegon, MI"
32,Taylor Perry,G,"6' 5""",200 lbs,SR,"Rochester, MI"
34,Anthony Avery,F,"6' 7""",205 lbs,SR,"Chicago, IL"
40,Kellen McCormick,F,"6' 8""",215 lbs,JR,"Bloomfield, MI"
42,Drake Lamont,C,"6' 10""",240 lbs,SO,"Plantation, FL"
50,Seth Dugan,C,"7' 0""",240 lbs,FR,"Otsego, MI"
