number,name,position,height,weight,class,hometown
0,Codi Miller-McIntyre,G,"6' 3""",205 lbs,SR,"Concord, NC"
1,Madison Jones,G,"6' 1""",165 lbs,SR,"Raleigh, NC"
2,Devin Thomas,F,"6' 9""",245 lbs,SR,"Harrisburg, PA"
4,Doral Moore,C,"7' 1""",265 lbs,FR,"Locust Grove, GA"
10,Mitchell Wilbekin,G,"6' 2""",175 lbs,SO,"Gainesville, FL"
11,Greg McClinton,F,"6' 7""",200 lbs,SO,"Winston-Salem, NC"
13,Bryant Crawford,G,"6' 3""",200 lbs,FR,"Kensington, MD"
20,John Collins,F,"6' 10""",225 lbs,FR,"West Palm Beach, FL"
23,Rondale Watson,G,"6' 3""",195 lbs,SO,"Lewisburg, WV"
25,Cornelius Hudson,F,"6' 7""",195 lbs,SO,"Dallas, TX"
30,Keyshawn Woods,G,"6' 3""",182 lbs,SO,"Gastonia, NC"
31,Andre Washington,C,"7' 0""",235 lbs,SR,"Rocky Mount, VA"
35,Stephen Prendergast,G,"6' 1""",180 lbs,SR,"Mahwah, NJ"
40,Anthony Bilas,G,"6' 2""",165 lbs,FR,"Charlotte, NC"
42,Gilbert McGregor,F,"6' 4""",210 lbs,SO,"New Orleans, LA"
43,Trent VanHorn,G,"6' 3""",215 lbs,JR,"Fort Wayne, IN"
44,Konstantinos Mitoglou,F,"6' 10""",245 lbs,SO,"Thessaloniki, Greece"
45,Troy Rike,F,"6' 7""",205 lbs,SO,"San Francisco, CA"
51,Grant O'Brien,F,"6' 7""",210 lbs,SR,"North Andover, MA"
52,Britton Anderson,G,"6' 4""",185 lbs,FR,"Great Falls, VA"
