number,name,position,height,weight,class,hometown
0,J.J. N'Ganga,C,"6' 10""",240 lbs,SR,"Aubervilliers, France"
1,Cullen Neal,G,"6' 5""",195 lbs,SO,"Albuquerque, NM"
3,Jordan Hunter,G,"5' 11""",180 lbs,FR,"Beaumont, TX"
4,Elijah Brown,G,"6' 4""",200 lbs,SO,"Los Angeles, CA"
11,Obij Aget,C,"7' 1""",220 lbs,JR,"Juba, South Sudan"
12,Devon Williams,F,"6' 8""",210 lbs,JR,"Dallas, TX"
14,Dane Kuiper,G/F,"6' 7""",200 lbs,FR,"Wasilla, AK"
20,Sam Logwood,G/F,"6' 7""",210 lbs,SO,"Indianapolis, IN"
21,Xavier Adams,G,"6' 4""",205 lbs,SO,"Flower Mound, TX"
22,Connor Joy,G,"6' 4""",195 lbs,SR,"Rehoboth, NM"
23,Joe Furstinger,F,"6' 9""",215 lbs,SO,"Rancho Santa Margarita, CA"
25,Tim Jacobs,G,"6' 0""",200 lbs,SR,"Las Cruces, NM"
30,Adam Cumber,G,"6' 2""",185 lbs,FR,"Albuquerque, NM"
31,Anthony Mathis,G,"6' 2""",170 lbs,FR,"West Linn, OR"
32,Tim Williams,F,"6' 8""",240 lbs,JR,"Flossmoor, IL"
33,Nikola Scekic,C,"7' 1""",255 lbs,FR,"Belgrade, Serbia"
34,Michael Nesbitt,F,"6' 7""",220 lbs,SR,"Evansville, IN"
