number,name,position,height,weight,class,hometown
1,Kory Holden,G,"6' 2""",180 lbs,SO,"Salisbury, MD"
2,Barnett Harris,F,"6' 9""",215 lbs,JR,"Monroeville, PA"
3,Anthony Mosley,G,"6' 1""",180 lbs,SO,"Wilmington, DE"
5,Eric Carter,F,"6' 9""",230 lbs,SO,"Jackson, NJ"
10,Curtis McRoy,G,"6' 2""",170 lbs,JR,"Annapolis, MD"
11,Devonne Pinkard,G/F,"6' 6""",200 lbs,JR,"Lancaster, PA"
12,Chivarsky Corbett,G/F,"6' 7""",195 lbs,SO,"Tampa, FL"
14,Tyler Burns,G,"5' 10""",155 lbs,SO,"Wilmington, DE"
15,Maurice Jeffers,C,"6' 9""",240 lbs,JR,"Washington, DC"
21,Marvin King-Davis,F,"6' 7""",230 lbs,SR,"Richmond, VA"
22,Cazmon Hayes,G,"6' 4""",195 lbs,JR,"Charlotte, NC"
23,Skye Johnson,F,"6' 8""",240 lbs,SO,"Dumfries, VA"
24,Sean Locke,G,"6' 4""",195 lbs,SR,"Newark, DE"
25,Curtis Lochner,G,"5' 10""",175 lbs,FR,"Willow Grove, PA"
