number,name,position,height,weight,class,hometown
0,Tra Holder,G,"6' 1""",180 lbs,SO,"Los Angeles, CA"
1,Maurice O'Field,G/F,"6' 5""",210 lbs,SO,"Cleveland, OH"
2,Willie Atwood,F,"6' 7""",215 lbs,SR,"Memphis, TN"
3,Shannon Evans,G,"6' 1""",160 lbs,JR,"Suffolk, VA"
4,Gerry Blakes,G,"6' 4""",195 lbs,SR,"Inglewood, CA"
5,Obinna Oleka,F,"6' 7""",225 lbs,JR,"Washington, DC"
10,Torian Graham,G,"6' 4""",180 lbs,SR,"Durham, NC"
11,Savon Goodman,F,"6' 6""",220 lbs,JR,"Philadelphia, PA"
12,Andre Adams,F,"6' 9""",216 lbs,FR,"Avondale, AZ"
21,Eric Jacobsen,F,"6' 10""",240 lbs,SR,"Chandler, AZ"
22,Austin Witherill,G,"6' 0""",160 lbs,SO,"Gilbert, AZ"
24,Andre Spight,G,"6' 3""",168 lbs,JR,"Burbank, CA"
34,Tyler Harris,G,"6' 5""",200 lbs,FR,"Westlake Village, CA"
44,Kodi Justice,G,"6' 5""",190 lbs,SO,"Mesa, AZ"
55,Shazier Lawson,G,"6' 4""",195 lbs,FR,"Warner Robins, GA"
