number,name,position,height,weight,class,hometown
2,Joshua Spiers,G/F,"6' 7""",200 lbs,SO,"Townsville, Australia"
3,Munis Tutu,G,"6' 1""",165 lbs,FR,"Windsor, ON"
4,Adom Jacko,F,"6' 8""",225 lbs,JR,"Upland, CA"
5,Matt Hayes,G,"6' 1""",165 lbs,JR,"Elk Grove, CA"
10,Brandon Brown,G,"5' 11""",160 lbs,JR,"Laveen, AZ"
11,Petr Herman,F,"6' 10""",235 lbs,SO,"Central Bohemian, Czech Republic"
12,Steven Haney Jr.,G/F,"6' 6""",205 lbs,SO,"East Lansing, MI"
13,Miles Crawford,G,"6' 1""",165 lbs,FR,"Dallas, TX"
20,Jalen Ward,G,"6' 0""",165 lbs,JR,"Seattle, WA"
22,Buay Tuach,G/F,"6' 6""",185 lbs,JR,"Omaha, NE"
24,Shamar Johnson,F,"6' 7""",255 lbs,JR,"Pensacola, FL"
25,Jeffery McClendon,G,"6' 3""",210 lbs,FR,"Pasadena, CA"
33,Tyler Batiste,G,"5' 11""",185 lbs,SO,"Los Angeles, CA"
35,Trevor Manuel,F,"6' 9""",187 lbs,FR,"Lansing, MI"
42,Marin Mornar,F,"6' 8""",200 lbs,SR,"Zagreb, Croatia"
45,David Humphries,G,"6' 4""",210 lbs,SR,"Kadina, Australia"
