number,name,position,height,weight,class,hometown
1,Kerem Kanter,F,"6' 9""",235 lbs,SO,"Istanbul, Turkey"
2,Turner Botz,F,"6' 7""",215 lbs,JR,"Little Chute, WI"
3,Khalil Small,G,"6' 2""",205 lbs,SO,"Chicago, IL"
4,Jordan Fouse,G,"6' 7""",225 lbs,SR,"Racine, WI"
5,Avery Brown,G,"6' 2""",165 lbs,FR,"Clermont, FL"
11,Anthony Brown,G,"6' 1""",160 lbs,FR,"Clermont, FL"
12,Carrington Love,G,"6' 1""",175 lbs,SR,"Milwaukee, WI"
23,Jamar Hurdle,F,"6' 7""",200 lbs,JR,"Milwaukee, WI"
32,Tevin Findlay,G,"6' 4""",190 lbs,JR,"Malton, ON"
34,Charles Cooper,G,"6' 4""",220 lbs,JR,"Gary, IN"
45,Kenneth Lowe,F,"6' 8""",230 lbs,JR,"Litte Chute, WI"
50,Henry Uwadiae,F,"6' 11""",240 lbs,JR,"Benin City, Nigeria"
NA,David Jesperson,F,"6' 8""",210 lbs,JR,"Merrill, WI"
