number,name,position,height,weight,class,hometown
1,Joshea Singleton,G,"6' 4""",211 lbs,SR,"Kinston, NC"
2,Sam Hunt,G,"6' 2""",175 lbs,SO,"Greensboro, NC"
3,Ede Egharevba,F,"6' 6""",210 lbs,SR,"Queens, NY"
4,Nick Reese,F,"6' 7""",210 lbs,SO,"Los Angeles, CA"
5,Jamin Lackey,F,"6' 8""",200 lbs,SO,"Los Angeles, CA"
10,Arturs Bremers,G,"6' 3""",195 lbs,SR,"Sigulda Riga, Latvia"
11,James Whitaker,G,"6' 5""",180 lbs,SO,"Portsmouth, VA"
12,Ahmad Abdullah,G,"6' 0""",175 lbs,SR,"Raleigh, NC"
13,Austin Williams,G,"6' 1""",175 lbs,SO,"Queens, NY"
15,Amari Hamilton,G,"6' 1""",165 lbs,SO,"Durham, NC"
20,Deion James,G/F,"6' 8""",205 lbs,FR,"Tucson, AZ"
21,Julien Johnson,F,"6' 4""",185 lbs,SR,"Nags Head, NC"
23,Denzel Keyes,G,"6' 4""",210 lbs,JR,"Kinston, NC"
24,Mike Owona,C,"6' 9""",250 lbs,JR,"Bel Air, MD"
30,Martin Jones,F,"6' 1""",170 lbs,FR,"Cincinnati, OH"
32,Bruce Beckford,F,"6' 7""",215 lbs,SR,"Silver Spring, MD"
34,Khary Doby,F,"6' 6""",206 lbs,JR,"Marlboro, MD"
44,Steven Burrough,C,"6' 9""",245 lbs,JR,"Charlotte, NC"
